player_name,team,position,2025,last30
Xavier Edwards,MIA,2B/SS,12.93510633921792,
Ozzie Albies,ATL,2B,12.859326888530989,
Alec Burleson,STL,1B/OF/DH,12.712090864800592,
Jacob Wilson,OAK,SS,12.705951754395088,
Cedric Mullins,NYM,OF,12.557296931562279,
Jordan Beck,COL,OF,12.54778592366026,
Otto Lopez,MIA,2B/SS,12.31820936610508,
Austin Wells,NYY,C,12.216699200766804,
Zach McKinstry,DET,2B/3B/SS/OF,12.057634418495963,
Jackson Holliday,BAL,2B,12.000950227965445,
Jasson Dominguez,NYY,OF,11.946854399369828,
Michael Harris II,ATL,OF,11.89563057515054,
Wilyer Abreu,BOS,OF,11.866870188682592,
Miguel Vargas,CHW,1B/3B/OF,11.830231333126351,
Caleb Durbin,MIL,3B,11.805441586211806,
Jonathan Aranda,TBR,1B/DH,11.78199609731688,
J.T. Realmuto,PHI,C,11.650117447277196,
Carson Kelly,CHC,C,11.500814983937575,
Bryan Reynolds,PIT,OF/DH,11.477023219959486,
Xander Bogaerts,SDP,2B/SS,11.470282448715581,
Anthony Volpe,NYY,SS,11.408378168752431,
Chandler Simpson,TBR,OF,11.116563022943684,
Yainer Diaz,HOU,C/DH,11.115895136990934,
Dillon Dingler,DET,C,11.076618459820942,
Lourdes Gurriel Jr.,ARI,OF,11.050983072860458,
Mike Yastrzemski,KCR,OF,10.95402216973363,
Addison Barger,TOR,3B/OF,10.817946768554041,
Jake Cronenworth,SDP,1B/2B,10.584450257614987,
Nathaniel Lowe,BOS,1B,10.56533327171442,
Nolan Schanuel,LAA,1B,10.544469730901799,
Jung Hoo Lee,SFG,OF,10.499825369758312,
Gavin Sheets,SDP,1B/OF/DH,10.447326431427609,
Kerry Carpenter,DET,OF/DH,10.308189613304645,
Ryan Jeffers,MIN,C/DH,10.25606287550517,
Austin Hays,CIN,OF/DH,10.221006368717854,
Trevor Larnach,MIN,OF/DH,10.208362276198228,
Matt McLain,CIN,2B,10.154982527988459,
Kyle Manzardo,CLE,1B/DH,10.143987307199742,
Nick Castellanos,PHI,OF,10.072013879725665,
Giancarlo Stanton,NYY,OF/DH,9.911453540683752,
Luis Garcia Jr.,WSN,2B,9.855333851564716,
Jurickson Profar,ATL,OF,9.776393573962391,
Adolis Garcia,TEX,OF/DH,9.730808188284724,
Isaac Paredes,HOU,3B/DH,9.694120965159271,
Victor Scott II,STL,OF,9.66806562731889,
Brendan Donovan,STL,2B/OF,9.521508990233789,
Josh Bell,WSN,1B/DH,9.431062565959953,
Luis Arraez,SDP,1B/2B/DH,9.391105336624815,
Jackson Merrill,SDP,OF,9.147675107053384,
Lenyn Sosa,CHW,1B/2B/3B,9.134214326206827,
Carlos Narvaez,BOS,C,9.030534896917068,
Marcus Semien,TEX,2B,8.98061100572777,
Josh Smith,TEX,1B/3B/SS/OF/DH,8.938936285163553,
Andrew Benintendi,CHW,OF/DH,8.697784378978767,
Ernie Clement,TOR,2B/3B/SS,8.547106971074601,
Jesus Sanchez,HOU,OF/DH,8.52447291268641,
Lars Nootbaar,STL,OF,8.414855196277768,
Ryan McMahon,NYY,3B,8.360687152514195,
Masyn Winn,STL,SS,8.336906695859964,
Gabriel Moreno,ARI,C,8.306744760745765,
Brandon Marsh,PHI,OF,8.153490560682316,
Brenton Doyle,COL,OF,8.110503407448366,
Paul Goldschmidt,NYY,1B,8.066935121131674,
Brett Baty,NYM,2B/3B,8.058316338834477,
