player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,closermonkey tier,Stuff+,Location+,Pitching+
Cam Devanney,KCR,SS/,-21.81112431371554,,,,FA,-21.81112431371554,-21.81112431371554,,,,,,
Ildemaro Vargas,ARI,2B/3B/,-22.362661019667122,,,,FA,-22.362661019667122,-22.362661019667122,,,,,,
Keston Hiura,COL,2B/DH/,-22.365497903905908,,,,FA,-22.365497903905908,-22.365497903905908,,,,,,
Michael Stefanic,TOR,2B/,-22.383899066663897,,,,FA,-22.383899066663897,-22.383899066663897,,,,,,
Jamie Westbrook,TBR,2B/3B/OF/DH/,-22.395393758396967,,,,FA,-22.395393758396967,-22.395393758396967,,,,,,
Owen Miller,COL,1B/2B/3B/,-22.39796049939001,,,,FA,-22.39796049939001,-22.39796049939001,,,,,,
Armando Alvarez,MIN,1B/2B/3B/OF/,-22.39942464604514,,,,FA,-22.39942464604514,-22.39942464604514,,,,,,
Payton Eeles,MIN,2B/,-22.40303132100459,,,,FA,-22.40303132100459,-22.40303132100459,,,,,,
Alika Williams,PIT,2B/,-22.41058329635619,,,,FA,-22.41058329635619,-22.41058329635619,,,,,,
Brennan Milone,ATH,1B/2B/,-22.4136879325958,,,,FA,-22.4136879325958,-22.4136879325958,,,,,,
Javier Vaz,KCR,2B/OF/,-22.415155741817006,,,,FA,-22.415155741817006,-22.415155741817006,,,,,,
Yunior Severino,MIN,2B/3B/,-22.416889665824225,,,,FA,-22.416889665824225,-22.416889665824225,,,,,,
Buddy Kennedy,PHI,2B/3B/DH/,-22.41790898847733,,,,FA,-22.41790898847733,-22.41790898847733,,,,,,
Charles Leblanc,ATL,1B/2B/3B/DH/,-22.41902447476566,,,,FA,-22.41902447476566,-22.41902447476566,,,,,,
Peyton Wilson,KCR,2B/OF/,-22.41938890665726,,,,FA,-22.41938890665726,-22.41938890665726,,,,,,
Sal Stewart,CIN,2B/3B/,-22.419768131623442,,,,FA,-22.419768131623442,-22.419768131623442,,,,,,
Cooper Bowman,ATH,2B/,-22.423002418109636,,,,FA,-22.423002418109636,-22.423002418109636,,,,,,
Jahmai Jones,DET,2B/3B/OF/DH/,-22.423830363944617,,,,FA,-22.423830363944617,-22.423830363944617,,,,,,
Michael Chavis,LAD,1B/2B/,-22.42393839882129,,,,FA,-22.42393839882129,-22.42393839882129,,,,,,
Joey Meneses,NYM,1B/DH/,-22.565579378299613,,,,FA,-22.565579378299613,-22.565579378299613,,,,,,
Blaine Crim,TEX,1B/,-22.631850205489037,,,,FA,-22.631850205489037,-22.631850205489037,,,,,,
Jon Singleton,NYM,1B/,-22.633654201240056,,,,FA,-22.633654201240056,-22.633654201240056,,,,,,
Mike Ford,MIN,1B/DH/,-22.64795537730618,,,,FA,-22.64795537730618,-22.64795537730618,,,,,,
Trenton Brooks,SDP,1B/DH/,-22.649995907181484,,,,FA,-22.649995907181484,-22.649995907181484,,,,,,
Bob Seymour,TBR,1B/,-22.651231478460183,,,,FA,-22.651231478460183,-22.651231478460183,,,,,,
Troy Johnston,MIA,1B/,-22.654200291904015,,,,FA,-22.654200291904015,-22.654200291904015,,,,,,
C.J. Kayfus,CLE,1B/,-22.655795716145175,,,,FA,-22.655795716145175,-22.655795716145175,,,,,,
T.J. Rumfield,NYY,1B/,-22.656410468474572,,,,FA,-22.656410468474572,-22.656410468474572,,,,,,
Emmanuel Rivera,BAL,1B/3B/,-23.506630471830064,,,,FA,-23.506630471830064,-23.506630471830064,,,,,,
Anthony Rendon,LAA,3B/,-23.53098029988572,,,,FA,-23.53098029988572,-23.53098029988572,,,,,,
Abraham Toro,BOS,3B/,-23.532670277800612,,,,FA,-23.532670277800612,-23.532670277800612,,,,,,
Nick Madrigal,NYM,3B/,-23.554640824949562,,,,FA,-23.554640824949562,-23.554640824949562,,,,,,
Warming Bernabel,COL,3B/,-23.565579933785894,,,,FA,-23.565579933785894,-23.565579933785894,,,,,,
Andre Lipcius,CHW,3B/,-23.565722941913336,,,,FA,-23.565722941913336,-23.565722941913336,,,,,,
Kyle Karros,COL,3B/,-23.56767043121695,,,,FA,-23.56767043121695,-23.56767043121695,,,,,,
LuJames Groover,ARI,3B/,-23.57828781627359,,,,FA,-23.57828781627359,-23.57828781627359,,,,,,
A.J. Vukovich,ARI,3B/OF/,-23.583093690316815,,,,FA,-23.583093690316815,-23.583093690316815,,,,,,
Sterlin Thompson,COL,3B/OF/,-23.58923444221805,,,,FA,-23.58923444221805,-23.58923444221805,,,,,,
Mike Boeve,MIL,1B/3B/,-23.592343896242653,,,,FA,-23.592343896242653,-23.592343896242653,,,,,,
