Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
98	20299	Nix, Bo	DEN	QB	100.00	85	117		29		
99	18771	Williams, Javonte	DAL	RB	100.07	81	120		29		
100	15238	Engram, Evan	DEN	TE	100.10	67	126		29		
101	16075	Andrews, Mark	BAL	TE	100.83	80	125		29		
102	16069	Mayfield, Baker	TB	QB	101.66	61	134		29		
103	16132	Kirk, Christian	HOU	WR	102.34	86	124		29		
104	15227	Njoku, David	CLE	TE	108.62	89	126		29		
105	21132	Allen, Braelon	NYJ	RB	108.66	92	129		29		
106	22077	Skattebo, Cam	NYG	RB	110.76	91	122		29		
107	21135	Benson, Trey	ARZ	RB	110.83	92	125		29		
108	18169	Mooney, Darnell	ATL	WR	111.90	97	132		29		
109	19934	Shaheed, Rashid	NO	WR	113.00	96	130		29		
110	20311	Reed, Jayden	GB	WR	113.52	81	163		29		
111	20312	Kraft, Tucker	GB	TE	113.79	97	136		29		
112	22106	Tuten, Bhayshul	JAX	RB	114.00	93	140		29		
113	22114	Higgins, Jayden	HOU	WR	114.21	81	135		29		
114	20293	Mims, Marvin	DEN	WR	114.76	94	150		29		
115	22099	Sampson, Dylan	CLE	RB	116.03	96	155		29		
116	22071	Gordon, Ollie	MIA	RB	116.59	95	143		29		
117	19468	Robinson, Brian	SF	RB	117.21	91	138		29		
118	15896	Ekeler, Austin	WAS	RB	117.48	101	135		29		
119	22092	Blue, Jaydon	DAL	RB	118.76	104	130		29		
120	11857	Allen, Keenan	LAC	WR	122.10	106	144		29		
121	22060	Burden, Luther	CHI	WR	122.14	102	179		29		
122	22075	Loveland, Colston	CHI	TE	123.72	102	143		29		
123	16067	Chubb, Nick	HOU	RB	124.24	85	147		29		
124	19742	Purdy, Brock	SF	QB	126.07	98	151		29		
125	22062	Judkins, Quinshon	CLE	RB	127.03	98	159		29		
126	20279	Bigsby, Tank	JAX	RB	127.93	103	171		29		
127	18791	Stevenson, Rhamondre	NE	RB	129.66	112	149		29		
128	20290	Tillman, Cedric	CLE	WR	130.66	108	173		29		
129	17009	Murray, Kyler	ARZ	QB	131.07	100	154		29		
130	18785	Bateman, Rashod	BAL	WR	131.41	110	154		29		
131	19476	Ferguson, Jake	DAL	TE	132.41	104	153		29		
132	18826	Harris, Najee	LAC	RB	133.31	119	152		29		
133	21124	Williams, Caleb	CHI	QB	134.41	87	170		29		
134	14748	Goff, Jared	DET	QB	134.59	106	165		29		
135	17983	Aiyuk, Brandon	SF	WR	135.28	107	178		29		
136	21151	Davis, Ray	BUF	RB	135.34	120	155		29		
137	21125	Maye, Drake	NE	QB	137.03	115	160		29		
138	17007	Brown, Hollywood	KC	WR	139.41	114	161		29		
139	19441	Allgeier, Tyler	ATL	RB	141.14	110	165		29		
140	18789	Pitts, Kyle	ATL	TE	142.24	123	165		29		
141	19443	Ford, Jerome	CLE	RB	142.55	75	179		29		
142	20300	Kincaid, Dalton	BUF	TE	142.72	125	165		29		
143	20341	Douglas, DeMario	NE	WR	143.10	115	189		29		
144	18783	Fields, Justin	NYJ	QB	144.00	101	175		29		
145	19436	White, Rachaad	TB	RB	146.14	119	184		29		
146	19460	Robinson, Wan'Dale	NYG	WR	147.34	123	172		29		
147	18862	Palmer, Joshua	BUF	WR	147.83	123	171		29		
148	21141	Shipley, Will	PHI	RB	149.93	112	169		29		
149	21137	Legette, Xavier	CAR	WR	150.76	117	200		29		
150	22134	TeSlaa, Isaac	DET	WR	150.93	110	183		29		
151	15261	Mixon, Joe	HOU	RB	151.28	98	210		29		
152	1863	Broncos, Denver	DEN	TDSP	153.24	127	169		29		
153	22109	Marks, Woody	HOU	RB	155.10	129	176		29		
154	18779	Lawrence, Trevor	JAX	QB	155.21	128	182		29		
155	16151	Goedert, Dallas	PHI	TE	156.28	129	177		29		
156	2964	Cowboys, Dallas	DAL	TK	156.38	133	183		29		
157	17976	Herbert, Justin	LAC	QB	157.62	117	192		29		
158	20344	Mitchell, Keaton	BAL	RB	158.14	135	177		29		
159	21150	McCarthy, J.J.	MIN	QB	158.86	133	183		29		
160	20329	Spears, Tyjae	TEN	RB	159.21	131	201		29		
161	18036	Dowdle, Rico	CAR	RB	159.97	140	195		29		
162	17997	Love, Jordan	GB	QB	161.03	140	182		29		
163	19455	Doubs, Romeo	GB	WR	161.38	104	185		29		
164	20278	Corum, Blake	LA	RB	163.90	139	185		29		
165	20280	Stroud, C.J.	HOU	QB	164.90	128	201		29		
166	22300	Brooks, Tahj	CIN	RB	167.28	140	192		29		
167	12426	Thielen, Adam	MIN	WR	167.66	118	216		29		
168	22096	Giddens, DJ	IND	RB	168.76	143	188		29		
169	22074	Harris, Tre'	LAC	WR	169.17	136	237		29		
170	20304	Miller, Kendre	NO	RB	172.10	84	226		29		
171	22126	Thornton, Dont'e	LV	WR	173.10	143	209		29		
172	20425	Strange, Brenton	JAX	TE	174.34	145	192		29		
173	20308	Rodriguez, Chris	WAS	RB	174.76	129	228		29		
174	22128	Williams, Kyle	NE	WR	175.66	113	222		29		
175	22091	Ayomanor, Elic	TEN	WR	176.69	142	223		29		
176	1961	Eagles, Philadelphia	PHI	TDSP	176.83	157	205		29		
177	21127	Franklin, Troy	DEN	WR	182.24	141	236		29		
178	22115	Bryant, Pat	DEN	WR	182.69	141	218		29		
179	22117	Smith, Brashard	KC	RB	183.38	134	239		29		
180	14968	Henry, Hunter	NE	TE	184.76	152	227		28		
181	22119	Monangai, Kyle	CHI	RB	185.34	156	213		28		
182	1807	Ravens, Baltimore	BAL	TDSP	186.76	161	214		29		
183	1968	Steelers, Pittsburgh	PIT	TDSP	188.66	169	204		29		
184	2980	Chargers, Los Angeles (LAC)	LAC	TK	189.31	156	210		29		
185	21178	Guerendo, Isaac	SF	RB	190.07	147	212		27		
186	11816	Ertz, Zach	WAS	TE	190.45	136	234		29		
187	19464	Likely, Isaiah	BAL	TE	190.76	132	224		25		
188	20285	Tucker, Sean	TB	RB	191.03	159	234		28		
189	20334	Johnson, Roschon	CHI	RB	191.24	154	238		29		
