RK	OVERALL PLAYER	POS RK	BYE	FPS	VORP
128	Jaydon Blue	RB40	10	121.9	-11.72
129	Mason Taylor	TE14	9	123.5	-11.92
130	Nick Chubb	RB41	6	121.0	-12.48
131	Quinshon Judkins	RB42	9	119.7	-13.50
132	Drake Maye	QB16	14	292.6	-14.53
133	Dalton Kincaid	TE15	7	119.9	-15.50
134	Jalen Coker	WR61	14	126.1	-16.58
135	Josh Reynolds	WR62	9	125.9	-16.78
136	Brenton Strange	TE16	8	118.1	-17.33
137	Keenan Allen	WR63	12	124.9	-17.77
138	DeMario Douglas	WR64	14	124.0	-18.65
139	Tyler Lockett	WR65	10	123.7	-18.99
140	Roman Wilson	WR66	5	123.6	-19.10
141	Tyler Warren	TE17	11	116.3	-19.13
142	Tyjae Spears	RB43	10	111.2	-20.29
143	Jared Goff	QB17	8	289.2	-20.69
144	Darren Waller	TE18	12	113.9	-21.51
145	Wan'Dale Robinson	WR67	14	119.9	-22.75
146	Rhamondre Stevenson	RB44	14	107.9	-22.99
147	Amari Cooper	WR68	8	119.3	-23.40
148	Geno Smith	QB18	8	283.8	-26.30
149	Isaiah Likely	TE19	7	108.6	-26.89
150	Ja'Tavion Sanders	TE20	14	107.6	-27.88
151	Justin Herbert	QB19	12	283.1	-29.67
152	Tory Horton	WR69	8	112.0	-30.72
153	Sam Darnold	QB20	8	282.4	-30.88
154	Ray Davis	RB45	7	97.1	-31.62
155	Dallas Goedert	TE21	9	103.1	-32.35
156	Najee Harris	RB46	12	93.9	-34.14
157	Tua Tagovailoa	QB21	12	279.4	-34.58
158	Rashod Bateman	WR70	7	107.5	-35.23
159	Trey Benson	RB47	8	92.3	-35.41
160	Tank Bigsby	RB48	8	92.0	-35.69
161	Rachaad White	RB49	9	91.9	-35.76
162	Tyler Allgeier	RB50	5	91.8	-35.85
163	Theo Johnson	TE22	14	99.4	-36.06
164	Zach Ertz	TE23	12	98.4	-37.05
165	Jonnu Smith	TE24	5	98.3	-37.18
166	Kendre Miller	RB51	11	89.2	-37.93
167	Brashard Smith	RB52	10	88.2	-38.74
168	Alec Pierce	WR71	11	103.2	-39.49
169	Rico Dowdle	RB53	14	85.7	-40.72
170	Jerome Ford	RB54	9	85.5	-40.89
171	Juwan Johnson	TE25	11	94.1	-41.36
172	Joe Mixon	RB55	6	84.8	-41.40
173	Dyami Brown	WR72	8	101.3	-41.41
174	Zay Jones	WR73	8	101.1	-41.62
175	Tre' Harris	WR74	12	100.8	-41.85
176	Luther Burden	WR75	5	100.6	-42.05
177	Dalton Schultz	TE26	6	92.9	-42.56
178	Jordan Love	QB22	5	274.4	-42.63
179	Brandon Aiyuk	WR76	14	98.4	-44.31
180	Darius Slayton	WR77	14	98.1	-44.56
181	Bryce Young	QB23	14	272.9	-44.80
182	DeAndre Hopkins	WR78	7	97.5	-45.21
183	Braelon Allen	RB56	9	80.0	-45.27
184	Chig Okonkwo	TE27	10	88.9	-46.58
185	Colston Loveland	TE28	5	88.8	-46.64
186	Cade Otton	TE29	9	88.5	-46.97
187	Brian Robinson	RB57	14	76.7	-47.93
188	Michael Penix	QB24	5	270.9	-48.72
189	Quentin Johnston	WR79	12	93.5	-49.20
190	Tahj Brooks	RB58	10	75.0	-49.25
191	Kyle Monangai	RB59	5	73.4	-50.55
192	Woody Marks	RB60	6	73.3	-50.65
193	Kenneth Gainwell	RB61	5	73.0	-50.88
194	Elic Ayomanor	WR80	10	89.8	-52.91
195	Arian Smith	WR81	9	89.5	-53.18
196	J.J. McCarthy	QB25	6	266.8	-54.11
197	Will Shipley	RB62	9	67.6	-55.18
198	Bhayshul Tuten	RB63	8	64.7	-57.55
199	Isaac TeSlaa	WR82	8	84.5	-58.22
200	Cam Ward	QB26	10	261.9	-59.75
201	Pat Freiermuth	TE30	5	74.9	-60.57
202	Jaylen Wright	RB64	12	60.6	-60.82
203	Raheem Mostert	RB65	8	60.4	-60.91
204	Roschon Johnson	RB66	5	60.4	-60.92
205	DJ Giddens	RB67	11	59.4	-61.78
206	Chris Rodriguez	RB68	12	59.2	-61.94
207	Mike Gesicki	TE31	10	72.6	-62.84
208	Terrance Ferguson	TE32	8	72.2	-63.23
209	Tutu Atwell	WR83	8	78.6	-64.10
210	Keaton Mitchell	RB69	7	54.9	-65.33
211	Chris Brooks	RB70	5	52.8	-67.02
212	Adonai Mitchell	WR84	11	75.5	-67.17
213	Jarquez Hunter	RB71	8	52.4	-67.39
214	Kareem Hunt	RB72	10	52.2	-67.48
215	Miles Sanders	RB73	10	51.8	-67.83
216	Michael Wilson	WR85	8	74.6	-68.13
217	Blake Corum	RB74	8	51.1	-68.42
218	Devin Neal	RB75	11	49.5	-69.66
219	Calvin Austin	WR86	5	72.4	-70.33
220	Adam Thielen	WR87	6	71.9	-70.75
221	AJ Barner	TE33	8	62.7	-72.74
222	Dont'e Thornton	WR88	8	69.9	-72.79
223	Aaron Rodgers	QB27	5	248.4	-74.12
224	Samaje Perine	RB76	10	43.2	-74.73
225	Nick Westbrook-Ikhine	WR89	12	67.9	-74.81
226	Michael Mayer	TE34	8	60.5	-74.97
227	Troy Franklin	WR90	12	67.5	-75.20
228	Marquise Brown	WR91	10	67.3	-75.38
229	Dameon Pierce	RB77	6	39.9	-77.37
230	Ray-Ray McCloud	WR92	5	65.3	-77.40
231	Dontayvion Wicks	WR93	5	65.1	-77.60
232	Ben Sinnott	TE35	12	57.0	-78.47
233	Ty Johnson	RB78	7	38.3	-78.64
234	KaVontae Turpin	WR94	10	63.4	-79.34
235	Isaac Guerendo	RB79	14	37.0	-79.71
236	Noah Gray	TE36	10	54.3	-81.16
237	Elijah Arroyo	TE37	8	54.1	-81.34
238	Kyle Williams	WR95	14	61.1	-81.61
239	Cole Kmet	TE38	5	53.8	-81.63
240	Tyquan Thornton	WR96	10	58.8	-83.89
241	Tyler Higbee	TE39	8	51.5	-83.93
242	Isaiah Davis	RB80	9	31.1	-84.41
243	Olamide Zaccheaus	WR97	5	57.4	-85.27
244	Matthew Stafford	QB28	8	236.9	-85.81
245	MarShawn Lloyd	RB81	5	29.2	-85.90
