Name,composite,mlb_pipeline,baseball_prospectus,fangraphs,Team,ETA,taken
Enrique Jr. Bradfield,124.053,150,,,,,X
AJ Smith-Shawver,125.158,150,,40.0,ATL,2025.0,X
Spencer Jones,126.895,150,,,,,X
Drew Gilbert,127.316,150,,,,,X
Emil Morales,128.474,150,,,,,
Jacob Melton,128.632,150,,,,,
Zac Veen,130.526,150,,,,,X
Roki Sasaki,131.105,1,,1.0,LAD,2025.0,X
Deyvison De Los Santos,131.368,150,,,,,
Tre' Morgan,133.895,94,,,,,
Colby Thomas,134.0,150,,,,,
George Jr. Lombard,134.0,150,,,,,X
Ricky Tiedemann,134.632,150,,102.0,TOR,2026.0,X
Hurston Waldrep,134.842,150,93.0,,,,X
Robby Snelling,135.263,150,,,,,X
Ralphy Velazquez,137.632,150,,,,,
Carson Benge,137.789,150,71.0,,,,
Cooper Pratt,138.421,57,63.0,,,,
Aidan Smith,139.053,150,,,,,
Jefferson Rojas,139.579,97,,81.0,CHC,2027.0,
Emiliano Teodo,140.0,150,,,,,
Luisangel Acuna,140.0,150,,,,,X
Angel Genao,140.0,62,78.0,33.0,CLE,2027.0,
Nick Yorke,141.316,150,,,,,X
Edwin Arroyo,141.579,92,,,,,X
Jaden Hamm,142.105,150,,,,,
River Ryan,142.579,150,,101.0,LAD,2026.0,X
Theo Gillen,142.632,99,87.0,,,,
Juan Brito,143.895,150,,78.0,CLE,2025.0,
Trey Yesavage,144.421,88,,,,,
Joendry Vargas,144.895,150,,,,,
Brice Matthews,145.947,150,68.0,,,,
Luis Morales,147.105,150,,96.0,ATH,2027.0,X
Tommy Troy,147.211,150,96.0,,,,X
Ryan Waldschmidt,147.737,150,,,,,
Santiago Suarez,149.263,150,,,,,
Chase Petty,149.947,150,,42.0,CIN,2025.0,
Gary Gill Hill,150.316,150,,,,,
Tyler Black,150.947,150,,,,,X
Chandler Simpson,151.105,150,,72.0,TBR,2025.0,X
Seaver King,151.158,150,,,,,
Jonah Tong,151.789,150,75.0,,,,
Franklin Arias,152.368,76,,,,,
Jack Leiter,152.579,150,,,,,X
Adrian Del Castillo,153.368,150,,30.0,ARI,2025.0,X
Druw Jones,153.842,150,,,,,X
Brailer Guerrero,154.368,150,,,,,
Cam Caminiti,154.684,89,,,,,
Demetrio Crisantes,154.737,150,,,,,
Yanquiel Fernandez,155.053,150,,,,,X
Carson Whisenhunt,155.737,150,,95.0,SFG,2025.0,
Zach Dezenzo,157.421,150,,,,,
Josue Briceno,157.737,95,64.0,,,,
Welbyn Francisca,157.842,150,,88.0,CLE,2029.0,
George Klassen,158.579,150,,93.0,LAA,2025.0,
Jurrangelo Cijntje,158.947,150,,,,,
Winston Santos,160.947,150,,,,,
