player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Chris Sale,ATL,SP/,31.990136844691165,24.269512074340746,26.84453495587328,11.02145120311664,TWN,31.990136844691165,23.531408769505457,5.0,,107.20224719101124,101.523301642178,101.24207433016424,109.30189756670936,100.87931371759522,103.65093610669716
Kodai Senga,NYM,SP/,8.50846447480654,8.020108012254976,9.240669798902212,20.194956308760368,TWN,20.194956308760368,11.491049648681024,26.0,,94.12573454913884,97.0743059777102,95.83272543059776,94.1571582861543,95.04756993067664,94.23987831517034
Nico Hoerner,CHC,2B/,12.38197906141322,12.319445088231038,11.561021587671776,17.035098778279668,TWN,17.035098778279668,13.324386128898926,,,,,,,,
Michael Busch,CHC,1B/,6.611391907834287,5.664825726832564,4.884345595744712,15.74874508898579,TWN,15.74874508898579,8.227327079849339,,,,,,,,
George Springer,TOR,OF/DH/,12.77904445007912,14.74990066988142,13.11565927323876,13.442644984312825,TWN,14.74990066988142,13.52181234437803,,,,,,,,
Ian Happ,CHC,OF/,14.118761093621666,11.34447044020646,9.365849917603676,8.246113005381703,TWN,14.118761093621666,10.768798614203376,,,,,,,,
Jo Adell,LAA,OF/,4.994434765226277,7.595783684566734,13.619850793972995,4.736049996247853,FA,13.619850793972995,7.736529810003465,,,,,,,,
Drew Rasmussen,TBR,SP/,11.300593651011132,10.622985902171475,11.29265677786906,,TWN,11.300593651011132,11.072078777017223,22.0,,111.55489461358312,100.89976580796254,107.96370023419198,111.33212860711828,96.8425953148195,104.58169883051524
Jorge Soler,LAA,OF/DH/,8.057369948183888,9.960212854541853,8.342600201623892,2.8761533434973208,TWN,9.960212854541853,7.309084086961739,,,,,,,,
Marcus Semien,TEX,2B/,9.677219251460995,8.723138027480612,9.552327741197027,-1.0524167695499749,W <small>(Fri)</small>,9.677219251460995,6.725067062647164,,,,,,,,
Steven Matz,STL,SP/RP/,3.611307944462824,-1.2084827314522135,-2.427460260421025,9.008138299232265,FA,9.008138299232265,2.2458758129554623,,,100.86817258358252,113.03590404029048,108.88503181419613,101.73413173652696,119.40407185628742,117.4302994011976
Miguel Vargas,CHW,3B/OF/,6.481144147499201,8.075542523241491,2.578177711033021,8.418582697984748,TWN,8.418582697984748,6.388361769939616,,,,,,,,
Trevor Story,BOS,SS/,1.0,8.25991220204916,4.384432826285117,8.075188978069463,W <small>(Fri)</small>,8.25991220204916,5.429883501600935,,,,,,,,
Jonathan India,KCR,2B/3B/OF/DH/,5.351071619935889,7.999467730091473,7.212694197993199,-3.528789591471493,TWN,7.999467730091473,4.258610989137266,,,,,,,,
Otto Lopez,MIA,2B/SS/,7.659734241059973,7.823483054075898,3.73880123249,2.448612074776996,W <small>(Fri)</small>,7.823483054075898,5.417657650600717,,,,,,,,
Luis Rengifo,LAA,2B/3B/,3.877537363043042,1.1818767743846392,6.97571046719505,-8.54421761113477,W <small>(Fri)</small>,6.97571046719505,0.8727267483719903,,,,,,,,
Bo Naylor,CLE,C/,6.3748314513755595,6.176836987874814,6.04325594860559,1.8489602289086904,TWN,6.3748314513755595,5.110971154191164,,,,,,,,
Kristian Campbell,BOS,2B/,-1.602232949309765,6.148525781838985,5.416980114472694,-0.5564182383642033,TWN,6.148525781838985,2.351713677159428,,,,,,,,
Kameron Misner,TBR,OF/,-7.894710840218167,-6.69463941657677,-3.529613467000262,5.495536311580322,FA,5.495536311580322,-3.1558568530537188,,,,,,,,
Reid Detmers,LAA,SP/RP/,5.393045387514279,-0.4903029102827931,0.9520713772279704,,FA,5.393045387514279,1.9516046181531523,,,109.52967320261432,105.4214379084967,112.70701525054469,111.42431002787164,108.2815477673012,118.25773587143448
Kolby Allard,CLE,SP/RP/,-4.199277971811575,-3.281400418351306,-4.461742956590456,4.821202267113745,FA,4.821202267113745,-1.780304769909898,,,87.3198612745922,106.05947424471722,91.7582010537526,87.4701336743393,106.12602080136402,91.6639430520034
Eduardo Rodriguez,ARI,SP/,4.784390793035776,4.613512676204888,-1.9862952239578924,-14.003961125369868,TWN,4.784390793035776,-1.6480882200217741,103.0,,91.88939354838706,99.07783225806452,92.7287741935484,90.38616600790516,83.05525691699606,77.84347826086956
Kyle Isbel,KCR,OF/,0.9618750166476128,1.2003499460536633,4.426231140010732,0.9927470766270644,FA,4.426231140010732,1.8953007948347682,,,,,,,,
Gabriel Arias,CLE,2B/3B/SS/,-4.199661939061825,-1.2065705828613318,0.3573118674500712,3.779905557010798,W <small>(Fri)</small>,3.779905557010798,-0.3172537743655719,,,,,,,,
Jeff McNeil,NYM,2B/OF/,3.68374791346402,-2.285968184143951,1.0,-5.520871862810404,TWN,3.68374791346402,-0.7807730333725839,,,,,,,,
Edward Cabrera,MIA,SP/,1.9967690424113949,-1.375889706792239,3.417784871825028,-0.5950409370069265,TWN,3.417784871825028,0.8609058176093143,57.0,,105.57944020356231,100.6584732824427,107.2638676844784,104.31247520976352,108.03647270349788,112.18253677672442
Landen Roupp,SFG,SP/,2.8557756029462795,3.3167016166426,1.9778436182945152,,TWN,3.3167016166426,2.7167736126277986,60.0,,99.32116756756758,108.21115675675672,106.4499027027027,97.1829728310802,109.96746554665968,105.58134400840004
Alek Thomas,ARI,OF/,-0.2865744717429324,0.4947526969699272,3.2077680810521856,-1.7002568042426462,TWN,3.2077680810521856,0.4289223755091336,,,,,,,,
Matt Strahm,PHI,RP/,3.0999369929404343,1.2025010133772709,2.4578311135074573,-6.055720970910235,TWN,3.0999369929404343,0.17613703722873186,,38,108.78456310679614,100.8951941747573,103.08160194174756,105.8162688172043,99.99229032258064,101.19872043010751
Brant Hurter,DET,RP/,-4.071855271932305,,-4.998028985182763,2.805965083639403,FA,2.805965083639403,-2.0879730578252214,,,111.70999313793428,91.29088007690947,98.23318162053457,111.07103744628606,86.4048219766728,94.14620012277472
Max Kepler,PHI,OF/,-0.3632668573856139,2.6261336415525216,2.167129498039419,2.085167234334465,FA,2.6261336415525216,1.628790879135198,,,,,,,,
Nick Allen,ATL,SS/,2.3796270734772236,0.6024639644278703,0.5660873151443506,-4.161128964513411,FA,2.3796270734772236,-0.15323765286599167,,,,,,,,
Clayton Kershaw,LAD,SP/,0.1746937604141333,-1.121710066994003,2.2484487520817003,-6.313045254395933,FA,2.2484487520817003,-1.2529032022235254,98.0,,95.07814207650271,89.8111475409836,87.45475409836067,95.07814207650271,89.8111475409836,87.45475409836064
Rowdy Tellez,SEA,1B/,-4.2910696826143395,-6.960257795851996,-1.744964098647467,2.2432890476413316,FA,2.2432890476413316,-2.688250632368118,,,,,,,,
Aaron Civale,MIL,SP/,1.4944733567349506,2.12295082830952,1.699385518245375,-2.318437965682575,TWN,2.12295082830952,0.7495929344018175,128.0,,94.6829411764706,101.57882352941176,92.88052287581698,93.56428571428572,102.2136974789916,94.06672268907565
Alex Cobb,DET,SP/,1.7502506803539046,0.1401589450888433,2.073411385126044,,FA,2.073411385126044,1.3212736701895973,,,,,,,,
Kyle Higashioka,TEX,C/,1.0,-1.161060149145399,2.047765314266699,-4.438993190617205,FA,2.047765314266699,-0.6380720063739762,,,,,,,,
Valente Bellozo,MIA,SP/,-5.898463462529508,-1.8350959411041456,-8.413825359406644,1.95462512323983,FA,1.95462512323983,-3.548189909950117,,,94.88128929874826,98.28731708673244,92.19350600324748,96.119411034263,99.74545637932977,93.92200965755735
Bryan Baker,BAL,RP/,-2.8143976538152025,-1.348635229676003,-2.0983744942725626,1.9498837422251736,FA,1.9498837422251736,-1.0778809088846484,,40,110.28427480916032,101.7360814249364,110.83847328244272,106.1559375,104.3009375,109.93635416666666
Johan Rojas,PHI,OF/,-5.549253474368414,-5.613757165894985,-3.954796709319498,1.4662320739970744,FA,1.4662320739970744,-3.4128938188964555,,,,,,,,
Lenyn Sosa,CHW,2B/3B/,-5.173116170924878,-5.46761338549265,-4.75878308884592,1.3658291821239663,FA,1.3658291821239663,-3.5084208657848706,,,,,,,,
