player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+
Chris Sale,ATL,SP/,32.189335594933695,20.287092282246544,25.03215069399848,3.6555003085288296,TWN,32.189335594933695,20.29101971992689,11.0,,105.73609230769232,102.038,99.24993846153846
Matt Chapman,SFG,3B/,8.971891121857109,20.86423015435375,12.297727905486193,10.723566744719864,TWN,20.86423015435375,13.21435398160423,,,,,
Kodai Senga,NYM,SP/,10.167916675496285,9.048354215628688,11.952499098051884,19.41417390748196,TWN,19.41417390748196,12.645735974164705,26.0,,96.3486426592798,99.29340720221607,98.76581717451523
Ozzie Albies,ATL,2B/,18.57553738344479,17.23745103277358,18.57327513705055,11.686559941424033,TWN,18.57553738344479,16.51820587367324,,,,,
Trevor Story,BOS,SS/,3.943859439167885,12.268231332202502,9.284848732760354,16.060295435830515,TWN,16.060295435830515,10.389308734990315,,,,,
Ian Happ,CHC,OF/,14.954719260850744,15.110912677498296,12.058399379777088,13.36729971730142,TWN,15.110912677498296,13.872832758856887,,,,,
Michael Busch,CHC,1B/,5.998246845913708,7.191064628551168,3.754757514966831,14.686222669368943,TWN,14.686222669368943,7.907572914700163,,,,,
Kristian Campbell,BOS,2B/,5.817631510848214,10.89687315318163,11.283305199356844,14.257301167126082,TWN,14.257301167126082,10.563777757628193,,,,,
Drew Rasmussen,TBR,SP/,11.17102432950994,13.766113861340347,13.704730463700932,,TWN,13.766113861340347,12.880622884850405,23.0,,111.5209012875536,104.75678111587982,110.79965665236053
Nico Hoerner,CHC,2B/,13.092338196860512,10.772312438297702,9.471361693986148,11.35532705268427,TWN,13.092338196860512,11.172834845457157,,,,,
Jorge Soler,LAA,OF/DH/,10.48520785362653,12.529603896194654,9.861972801573131,5.0990419143864365,TWN,12.529603896194654,9.493956616445189,,,,,
George Springer,TOR,OF/DH/,12.45566942858123,12.234830298716924,11.160250065421335,9.695146449228368,TWN,12.45566942858123,11.386474060486965,,,,,
Jonathan India,KCR,2B/DH/,9.8957185821064,10.740224596672029,9.460301958175178,-6.786222666773405,TWN,10.740224596672029,5.82750561754505,,,,,
Austin Wynns,CIN,C/,-10.717530626679729,-9.434209174505249,-8.883630821391758,7.97848177999879,FA,7.97848177999879,-5.264222210644486,,,,,
Bo Naylor,CLE,C/,7.9169747714058065,,5.502172225143854,4.826715021196099,TWN,7.9169747714058065,6.081954005915253,,,,,
Reid Detmers,LAA,SP/,7.380670283918112,2.066894238140047,1.802117981804917,,FA,7.380670283918112,3.7498941679543587,,,107.90190082644628,102.81793388429752,107.56421487603308
Dane Myers,MIA,OF/,-5.665182841877052,-4.296162533930715,-5.480692391378974,6.866417371055576,FA,6.866417371055576,-2.143905099032791,,,,,
Eli White,ATL,OF/,-15.153128914199891,-12.482630355754567,-12.550444375741444,5.821296029984268,FA,5.821296029984268,-8.59122690392791,,,,,
Otto Lopez,MIA,2B/,2.8683190464538573,4.792434699510947,1.274856384945461,5.776369904263517,W <small>(Fri)</small>,5.776369904263517,3.677995008793446,,,,,
Landen Roupp,SFG,SP/,3.937274838883164,5.699274464194676,3.906847014459039,,TWN,5.699274464194676,4.51446543917896,51.0,,101.1391619047619,107.04114285714284,107.2536
Hayden Wesneski,HOU,SP/,-1.025601455844543,5.088779054190806,2.087754341842838,,TWN,5.088779054190806,2.0503106467297,63.0,,96.69644329896906,109.37221649484536,103.33051546391754
Kenley Jansen,LAA,RP/,2.95891991773446,5.029452985819004,4.30588511898946,1.0,TWN,5.029452985819004,3.323564505635731,,11,112.9109836065574,102.01672131147542,110.65852459016392
Alek Thomas,ARI,OF/,0.7294386886600608,1.585452344479278,3.6907720332424594,4.562134912232242,FA,4.562134912232242,2.64194949465351,,,,,
Liam Hicks,MIA,C/,-5.616933518122129,-4.846309625778043,-6.742433391941664,4.546937249014851,FA,4.546937249014851,-3.164684821706746,,,,,
Miguel Vargas,CHW,3B/OF/,1.2248691904894422,4.442836495226917,-2.239680337628813,-0.8600057213786185,TWN,4.442836495226917,0.642004906677232,,,,,
Kyle Isbel,KCR,OF/,1.0797298435162703,2.117223826024219,4.430045020064465,-1.767091370760561,FA,4.430045020064465,1.4649768297110985,,,,,
Johan Rojas,PHI,OF/,-3.506267773500756,-4.21057966839897,-3.409935452369809,4.376062206983782,FA,4.376062206983782,-1.6876801718214383,,,,,
Davis Martin,CHW,SP/,-7.11142809033864,-12.018493274580612,-2.0972988303150935,4.3274204133315255,FA,4.3274204133315255,-4.224949945475705,142.0,,95.73537572254337,99.91726396917149,97.2260500963391
Joey Cantillo,CLE,SP/,1.8406446909452143,4.19711782098828,-2.3485493960895867,,FA,4.19711782098828,1.2297377052813023,,,90.01359154929575,100.46197183098592,91.50683098591549
Tyler Heineman,TOR,C/DH/,-7.625270288278383,-6.852821128113516,-6.42802841828049,4.151606835735048,FA,4.151606835735048,-4.188628249734335,,,,,
Edward Cabrera,MIA,SP/,1.059590362068469,-3.054781535407292,4.031416230440556,-7.680240687419866,TWN,4.031416230440556,-1.4110039075795333,80.0,,107.17051428571428,91.8509714285714,101.4301142857143
Harrison Bader,MIN,OF/,0.933238776284242,1.949757854772264,1.532594666101042,3.983805248122068,FA,3.983805248122068,2.0998491363199037,,,,,
Colin Rea,CHC,SP/,-2.6807955469132527,3.9485445272811774,0.5589215143521806,,FA,3.9485445272811774,0.6088901649067018,99.0,,96.10693757678132,98.25808776105652,90.8568296990172
