player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+
Chris Sale,ATL,SP/,32.14114990828041,28.412556067168026,26.28263744399287,3.1634331213816775,TWN,32.14114990828041,22.499944135205745,11.0,,106.90617169373552,102.3482598607889,100.72211136890952
Kodai Senga,NYM,SP/,7.855026075137205,9.232165320543796,10.952082762760586,18.762518705526936,TWN,18.762518705526936,11.700448215992132,26.0,,93.6948201438849,96.07053237410072,93.906964028777
George Springer,TOR,OF/DH/,12.414196114272277,12.748752097013108,12.359946072168015,15.322580659051383,TWN,15.322580659051383,13.211368735626195,,,,,
Michael Busch,CHC,1B/,4.9974373263180265,5.915803207040152,4.225902867845341,13.21173850039742,TWN,13.21173850039742,7.087720475400235,,,,,
Ian Happ,CHC,OF/,10.375316607460173,9.271222326469873,6.727467757458385,12.952505032396191,TWN,12.952505032396191,9.831627930946155,,,,,
Jorge Soler,LAA,OF/DH/,10.910846286923991,12.3932588586762,10.259682630812959,3.1024297889213073,TWN,12.3932588586762,9.166554391333614,,,,,
Nico Hoerner,CHC,2B/,11.869888962195898,11.515350135901189,8.622383943986543,10.70326700466426,TWN,11.869888962195898,10.677722511686973,,,,,
Trevor Story,BOS,SS/,2.7835787367263474,10.581966468185465,7.181057480264765,11.04971450563687,TWN,11.04971450563687,7.899079297703362,,,,,
Drew Rasmussen,TBR,SP/,9.314511018240532,10.413718105085538,11.001071914016876,,TWN,11.001071914016876,10.243100345780983,23.0,,110.95181380417336,102.59682182985554,108.60170144462283
Kristian Campbell,BOS,2B/,5.931499120330581,9.708370631788258,10.85590254859536,6.609628146455103,TWN,10.85590254859536,8.276350111792325,,,,,
Jonathan India,KCR,2B/3B/OF/DH/,9.122544164605582,10.230900441115875,9.52950916958135,-1.476459086882485,TWN,10.230900441115875,6.851623672105081,,,,,
Bo Naylor,CLE,C/,7.35220857812944,6.763797727208311,5.282250977378886,1.8923610187704591,TWN,7.35220857812944,5.322654575371774,,,,,
Michael Lorenzen,KCR,SP/,-7.127897561551761,-2.5497129538728966,-11.123333816796125,7.289280534810632,FA,7.289280534810632,-3.377915949352537,,,93.90005479452054,104.1015616438356,96.2791780821918
Eduardo Rodriguez,ARI,SP/,6.183347292472724,5.862683435658605,0.5639809039212478,-14.40217818068103,TWN,6.183347292472724,-0.44804163715711365,101.0,,93.41384835479252,101.38575107296136,95.96972818311872
Jeff McNeil,NYM,2B/OF/,6.002037608598579,-0.8377620999376685,3.198065076468019,-7.140939883679847,TWN,6.002037608598579,0.3053501753622707,,,,,
Miguel Vargas,CHW,3B/OF/,4.103988596222161,5.873757976684441,-0.0026473462482945465,1.3820451247092018,TWN,5.873757976684441,2.8392860878418773,,,,,
Reid Detmers,LAA,SP/RP/,5.389663673104626,-0.5732913512228937,1.9846706057251708,,FA,5.389663673104626,2.267014309202301,,,108.13796610169491,103.28406779661016,109.04488135593223
Patrick Corbin,TEX,SP/,-6.569333136427568,-9.417648973923646,-7.658759455466731,5.380287537154105,FA,5.380287537154105,-4.56636350716596,,,95.85433593749998,105.4200390625,103.50515625
Ben Lively,CLE,SP/,-9.071803316650925,-4.27189355965874,-5.4313234661886645,5.127267978112671,FA,5.127267978112671,-3.411938091096415,,,82.84917355371901,103.95749311294767,83.15432506887055
Zack Littell,TBR,SP/,-4.168875429439136,-0.5207140610414456,-2.3761564087228093,4.917319761987571,FA,4.917319761987571,-0.5371065343039549,150.0,,84.76964391691395,104.87608308605344,93.39468842729973
Jordan Hicks,SFG,SP/,0.33537114159047776,4.703660570852591,3.895859594571215,,TWN,4.703660570852591,2.9782971023380944,58.0,,109.218013986014,99.452027972028,106.91627972027972
