player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Chris Sale,ATL,SP/,32.15408278859455,31.79274228261918,28.094286365780416,15.331233049156332,TWN,32.15408278859455,26.843086121537617,5.0,,107.20224719101124,101.523301642178,101.24207433016424,109.30189756670936,100.87931371759522,103.65093610669716
Kodai Senga,NYM,SP/,9.649238926915167,10.646367531381964,10.40474527253916,19.030749509925016,TWN,19.030749509925016,12.432775310190326,26.0,,94.12573454913884,97.0743059777102,95.83272543059776,94.1571582861543,95.04756993067664,94.23987831517034
George Springer,TOR,OF/DH/,13.094410171194326,17.81008884761401,13.390218341938475,15.96502100530259,TWN,17.81008884761401,15.064934591512351,,,,,,,,
Jo Adell,LAA,OF/,6.883752118199913,8.219604351977353,16.452624853924398,8.520820798860333,FA,16.452624853924398,10.0192005307405,,,,,,,,
Michael Busch,CHC,1B/,5.270862096097521,8.742415846362285,4.184876135336339,15.811172362805593,TWN,15.811172362805593,8.502331610150435,,,,,,,,
Nico Hoerner,CHC,2B/,13.52960923268539,13.314477895028126,11.303322069253264,15.535707393235528,TWN,15.535707393235528,13.420779147550576,,,,,,,,
Ian Happ,CHC,OF/,14.842579213529607,11.20296227055362,9.82484111157545,13.400693560153636,TWN,14.842579213529607,12.317769038953077,,,,,,,,
Marcus Semien,TEX,2B/,13.90024119265231,9.353635084261466,9.369545864248336,4.977862607893545,W <small>(Fri)</small>,13.90024119265231,9.400321187263913,,,,,,,,
Drew Rasmussen,TBR,SP/,11.161146339844876,12.753777241269166,13.60462461152786,,TWN,13.60462461152786,12.506516064213969,22.0,,111.55489461358312,100.89976580796254,107.96370023419198,111.33212860711828,96.8425953148195,104.58169883051524
Trevor Story,BOS,SS/,1.5937284893721233,6.379842420728364,2.508182307509106,13.520299844467566,W <small>(Fri)</small>,13.520299844467566,6.00051326551929,,,,,,,,
Miguel Vargas,CHW,3B/OF/,6.524843629700716,9.843524305601884,2.609152846876582,8.075591822443911,TWN,9.843524305601884,6.763278151155774,,,,,,,,
Otto Lopez,MIA,2B/SS/,9.139869985170572,8.83828335330843,3.499915238891153,6.228702615018857,W <small>(Fri)</small>,9.139869985170572,6.926692798097253,,,,,,,,
Steven Matz,STL,SP/RP/,3.405350119838402,-0.6740046556321828,-1.6386861485250566,8.654214607738135,FA,8.654214607738135,2.4367184808548243,,,100.86817258358252,113.03590404029048,108.88503181419613,101.73413173652696,119.40407185628742,117.4302994011976
Jonathan India,KCR,2B/3B/OF/DH/,5.968688646695069,7.428719650904454,7.891132511314943,0.4553493762390399,TWN,7.891132511314943,5.435972546288376,,,,,,,,
Bo Naylor,CLE,C/,7.079936955765068,6.656751278320415,5.99461972694338,3.8669716243430656,TWN,7.079936955765068,5.899569896342982,,,,,,,,
Luis L. Ortiz,CLE,SP/,-1.926749262233392,6.742864746733095,-0.7735390087854106,,TWN,6.742864746733095,1.347525491904764,91.0,,98.27070588235294,96.42031372549025,95.11888235294114,98.42996321275292,98.71428724708768,97.92927191906806
Jorge Soler,LAA,OF/DH/,4.459127784721893,6.6438727486444,5.116243780279093,1.6692468972776284,TWN,6.6438727486444,4.472122802730754,,,,,,,,
Kristian Campbell,BOS,2B/,1.0,3.5533592257094737,6.5111732695737095,1.608087684749624,TWN,6.5111732695737095,3.1681550450082017,,,,,,,,
Eduardo Rodriguez,ARI,SP/,6.143874661084654,6.384425090484882,-0.21235529898311234,-12.95675404715701,TWN,6.384425090484882,-0.16020239864264685,103.0,,91.88939354838706,99.07783225806452,92.7287741935484,90.38616600790516,83.05525691699606,77.84347826086956
Edward Cabrera,MIA,SP/,2.512622007899439,-2.216303034100599,5.612579821658055,-1.3336246282058366,TWN,5.612579821658055,1.1438185418127644,57.0,,105.57944020356231,100.6584732824427,107.2638676844784,104.31247520976352,108.03647270349788,112.18253677672442
Luis Rengifo,LAA,2B/3B/,5.341351351663398,-0.678842599831829,5.495221919894767,-9.081329454156627,W <small>(Fri)</small>,5.495221919894767,0.2691003043924276,,,,,,,,
Reid Detmers,LAA,SP/RP/,5.2013896936722075,0.19232607433164028,0.517185639478984,,FA,5.2013896936722075,1.9703004691609438,,,109.52967320261432,105.4214379084967,112.70701525054469,111.42431002787164,108.2815477673012,118.25773587143448
Jeff McNeil,NYM,2B/OF/,4.9274284445835965,-2.6802445841958016,2.237459543838808,0.058628577574047935,TWN,4.9274284445835965,1.1358179954501626,,,,,,,,
Kyle Isbel,KCR,OF/,-0.04872614453831514,0.4711642505577547,3.867750306155565,-0.6364514050244539,FA,3.867750306155565,0.9134342517876375,,,,,,,,
