player_name,team,position,steamerr,rthebatx,roopsydc,season,last30,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Chris Sale,ATL,SP/,18.602648882229452,19.50010418946171,17.14964284757747,17.82212916388041,28.287738975063053,TWN,28.287738975063053,20.272452811642417,5.0,,107.50661705006762,102.41284167794318,103.17550744248983,108.74535643970468,104.5825295324036,107.99038802296964,0.0,,,,,0.0,
Ian Happ,CHC,OF/,15.431676986877909,12.347964957546848,8.85442681179357,14.688276475971346,20.761773843603866,TWN,20.761773843603866,14.416823815158708,,,,,,,,,215.0,89.16011957159624,112.044,0.09302326,0.39534884,0.33070067830361133,0.347
Jose Altuve,HOU,2B/OF/DH/,20.465656129472748,15.361056012756542,15.832687041252068,14.349912222463027,17.391214941050006,W <small>(Fri)</small>,20.465656129472748,16.68010526939888,,,,,,,,,244.0,84.47051516736401,109.175,0.05327869,0.28688525,0.323157150730444,0.297
Kodai Senga,NYM,SP/,6.342739139629956,8.417885481631846,7.59354259305373,20.162028692303064,16.934816104673406,TWN,20.162028692303064,11.8902024022584,26.0,,93.87168654173763,96.40938671209543,94.86378194207835,91.92588354037267,95.58435559006212,92.33687577639752,0.0,,,,,0.0,
George Springer,TOR,OF/DH/,12.883955650851725,17.689752488341973,11.986388758535544,14.291673468482236,18.293458890877645,TWN,18.293458890877645,15.029045851417823,,,,,,,,,185.0,90.44946154178177,112.335,0.16216216,0.44864865,0.35539268528688767,0.389
Charlie Morton,BAL,SP/RP/,0.184015153888525,-2.6997020575605344,-0.2320143928276827,,18.077024037273073,FA,18.077024037273073,3.8323306851933454,148.0,,100.18119720003044,96.00557087422962,96.92917235030055,103.85126780154746,101.08123617821946,104.17095829507609,0.0,,,,,0.0,
Drew Rasmussen,TBR,SP/,10.254411375615598,,11.201098803559908,17.556281054493855,,TWN,17.556281054493855,13.003930411223118,22.0,,111.75300168634067,100.87141652613825,108.81763912310286,111.7067487684729,100.65162561576354,109.31004926108373,0.0,,,,,0.0,
Isaac Collins,MIL,OF/,-14.541613469299168,-18.35660571874696,-12.060545799873063,2.94693245144936,14.327963526210633,FA,14.327963526210633,-5.5367738020518384,,,,,,,,,109.0,86.73931308962264,111.223,0.06422018,0.33944954,0.34324954441615513,0.312
Michael Busch,CHC,1B/,6.443060494866724,8.581534621978584,4.231952151843274,13.801894823299891,11.258448701734723,TWN,13.801894823299891,8.86337815874464,,,,,,,,,178.0,91.0074814618644,111.88,0.14044944,0.45505618,0.37109534627329693,0.386
Sam Haggerty,TEX,OF/,-9.650885390667732,-11.748951079159369,-7.304629099379016,-1.730658629110707,13.021422481803482,FA,13.021422481803482,-3.4827403433026687,,,,,,,,,81.0,87.75223848417208,109.625,0.03703704,0.39506173,0.3381364185501028,0.341
Clayton Kershaw,LAD,SP/,2.050292828363147,-0.0698615034381648,3.499437740097994,1.2023469819615256,13.009571618858386,FA,13.009571618858386,3.9383575331685776,98.0,,94.67740310077521,95.4232945736434,93.57767441860466,93.9456511056511,96.55415233415232,94.38068796068796,0.0,,,,,0.0,
Jeff McNeil,NYM,2B/OF/,6.576618997570132,-2.8831203315052223,2.4438660640432106,0.591159821667809,11.915421895971877,TWN,11.915421895971877,3.728789289549561,,,,,,,,,136.0,86.13891782407407,105.919,0.05147059,0.30882353,0.35015782593302647,0.331
Eduardo Rodriguez,ARI,SP/,8.062879101868354,8.003014345294313,1.4542148313815046,-6.2693437656031366,10.883929346561878,TWN,10.883929346561878,4.426938771900582,103.0,,91.23030520646319,100.68150807899457,92.83339317773788,89.7492560044426,104.65882795363044,93.08537720394281,0.0,,,,,0.0,
Keider Montero,DET,SP/RP/,-4.639004817106179,-5.6609846406442275,-5.749648667830497,-1.1366422944886372,10.388504104500775,FA,10.388504104500775,-1.3595552631137537,,,95.64923320863804,98.12475284973281,93.07805833963943,95.75273749872176,101.49808978423151,95.3072577291475,0.0,,,,,0.0,
Casey Schmitt,SFG,2B/3B/,-12.408677563503424,-6.990608212687229,-8.049799161780076,-3.780752129068752,10.007892387474,FA,10.007892387474,-4.244388935913096,,,,,,,,,69.0,91.10846306295956,111.569,0.10144928,0.49275362,0.36036492563853756,0.383
Ty France,MIN,1B/,3.2307995783229666,2.3895918627833854,3.2950786969130683,9.102768277925884,9.031226889611268,W <small>(Fri)</small>,9.102768277925884,5.4098930611113145,,,,,,,,,237.0,89.19916888297873,110.526,0.08860759,0.42616034,0.31209403642944533,0.351
Dean Kremer,BAL,SP/,-1.4499815903070925,-2.8028398700001844,2.5591775843331614,1.7542403897468222,9.002977986801856,FA,9.002977986801856,1.8127149001149125,137.0,,97.27568205506728,101.87006332861527,97.47634768484535,94.84917675095987,106.52700119157952,99.73893764067256,0.0,,,,,0.0,
Jonathan India,KCR,2B/3B/OF/DH/,7.921553410611088,8.523668067868094,8.858550330890804,-0.8065959481305618,5.057227143232419,TWN,8.858550330890804,5.910880600894369,,,,,,,,,232.0,88.6975518588362,110.795,0.06034483,0.375,0.29167890509748773,0.337
Logan Allen,CLE,SP/,-5.479750616814645,-7.395444908532515,-4.918881318005828,-1.100351871508173,8.325886305316487,FA,8.325886305316487,-2.1137084819089345,,,93.31961437920458,94.23316114394454,87.77585157264926,94.20326633165827,96.13361809045226,91.23120603015074,0.0,,,,,0.0,
