player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Chris Sale,ATL,SP/,33.2720789062848,33.294825790719166,28.96744164086928,18.472141086942305,TWN,33.294825790719166,28.501621856203887,5.0,,107.46474966170503,102.33550744248981,103.06105548037888,107.55542795420637,103.21904863654754,105.78849240783619,0.0,,,,,0.0,
Jose Altuve,HOU,2B/OF/DH/,21.732317700547963,16.392341233716742,16.27161850824106,16.601918218172543,W <small>(Fri)</small>,21.732317700547963,17.749548915169576,,,,,,,,,238.0,84.97569071888412,109.175,0.05462185,0.29411765,0.3276032876027258,0.3
Kodai Senga,NYM,SP/,7.116058910796893,8.154635137414221,8.705740622881908,21.44973131652041,TWN,21.44973131652041,11.356541496903358,26.0,,93.85170357751278,96.35994889267464,94.77570698466783,92.9770272737647,94.34592833504507,91.88544105899805,0.0,,,,,0.0,
Drew Rasmussen,TBR,SP/,9.913235997658758,12.266325653811498,11.638978892666573,18.904101113216203,TWN,18.904101113216203,13.18066041433826,22.0,,111.82314442413166,102.16208409506396,109.94444241316269,111.96297435897439,100.60876923076923,109.87543589743589,0.0,,,,,0.0,
George Springer,TOR,OF/DH/,12.077873843572286,17.163265491771863,12.704119241711302,12.378180169189973,TWN,17.163265491771863,13.580859686561357,,,,,,,,,172.0,90.80189311935241,112.335,0.1627907,0.44186047,0.3468180701417743,0.381
Ian Happ,CHC,OF/,14.64205583123192,10.821326965101674,9.454180493550576,13.121804492528062,TWN,14.64205583123192,12.009841945603059,,,,,,,,,199.0,89.09984611742425,112.044,0.08542714,0.39698492,0.32539089520772296,0.347
Michael Busch,CHC,1B/,6.085891242326341,8.46281846568477,4.9624758562741,11.938804848343691,TWN,11.938804848343691,7.862497603157225,,,,,,,,,167.0,90.8347609186747,110.425,0.14371257,0.45508982,0.37027976378913996,0.384
Steven Matz,STL,SP/RP/,3.8177273560957836,-0.6999466852748086,-0.5219241583501375,8.305042564796857,FA,8.305042564796857,2.725224769316924,,,101.35560148076613,112.67970062771609,108.7292135844198,104.77466666666668,114.73644444444447,111.65185185185184,0.0,,,,,0.0,
Bo Naylor,CLE,C/,7.300183589740587,7.511011195563181,5.535467454161313,1.0,TWN,7.511011195563181,5.33666555986627,,,,,,,,,117.0,89.01142842060811,108.783,0.11111111,0.31623932,0.29465432412660303,0.301
Ty France,MIN,1B/,2.817732121183566,1.9761854469165507,4.3273600923734215,7.502103086473196,W <small>(Fri)</small>,7.502103086473196,4.155845186736683,,,,,,,,,221.0,89.39326171875,110.526,0.09049774,0.42533937,0.31055292517868516,0.352
Jonathan India,KCR,2B/3B/OF/DH/,6.665514341005177,7.446096701034708,6.6383094365035396,-1.2226396278055538,TWN,7.446096701034708,4.8818202126844685,,,,,,,,,217.0,88.79266273041475,110.616,0.05529954,0.37327189,0.2901495156816133,0.333
Edward Cabrera,MIA,SP/,3.4497824264730226,-1.7468986417369963,6.702466360218938,0.6020200518536631,TWN,6.702466360218938,2.2518425492021565,57.0,,104.57289473684207,100.24907894736839,105.80947368421052,103.66989247311827,108.27259342063239,111.23898222080273,0.0,,,,,0.0,
Dane Myers,MIA,OF/,-5.22181617353443,-3.934903011736271,-4.800926548004332,6.279005757031457,FA,6.279005757031457,-1.919659994060894,,,,,,,,,104.0,92.11587909587378,107.481,0.07692308,0.44230769,0.37227512014155484,0.367
Eduardo Rodriguez,ARI,SP/,6.07280812876032,6.182278666536623,0.07698022153385331,-10.541741529637916,TWN,6.182278666536623,0.4475813717982202,103.0,,91.62070450097848,100.36465753424655,93.05708414872798,90.85843715613736,104.994968696642,94.3669547524189,0.0,,,,,0.0,
Luis L. Ortiz,CLE,SP/,-3.010079273582563,5.221859247093454,-0.18245262667185957,-3.3264034326135468,TWN,5.221859247093454,-0.3242690214436288,91.0,,99.22355828220859,94.30894171779141,93.72407975460122,102.45897190919484,93.1041593173281,95.29310142087212,0.0,,,,,0.0,
Jorge Soler,LAA,OF/DH/,2.6178953655300554,5.005919268753174,4.378750688756271,0.12977676007034045,TWN,5.005919268753174,3.0330855207774605,,,,,,,,,161.0,89.98001708984376,112.741,0.09937888,0.40372671,0.28107657712517364,0.286
