name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
arian smith,,402,372.0,,,14,WR140,
jalin hyatt,,403,420.0,245.0,240.66,14,WR141,
jacob cowing,,404,399.0,,,15,WR142,
kenny pickett,,405,,241.64,,15,QB43,
foster moreau,,406,432.0,,,15,TE54,
xavier hutchinson,,407,441.0,,,15,WR143,
joe milton,,408,421.0,246.9,,15,QB44,
tyquan thornton,,409,369.0,242.55,237.59,15,WR144,
eddy pineiro,,410,,,,15,K26,
matt prater,,411,,,,15,K27,
darnell washington,,412,326.0,,,15,TE55,
theo wease,,413,,,,15,WR145,
blake grupe,,414,,,,15,K28,
tyler goodson,,415,394.0,243.89,,15,RB116,
sterling shepard,,416,364.0,242.34,,15,WR146,
jonathon brooks,,417,408.0,,,15,RB117,
graham gano,,418,,,,15,K29,
las vegas raiders,,419,404.0,249.88,240.66,15,DST28,
las vegas raiders,,419,404.0,251.36,240.66,15,DST28,
grant calcaterra,,420,374.0,243.58,,15,TE56,
jacksonville jaguars,,421,409.0,238.06,228.76,15,DST29,
jacksonville jaguars,,421,409.0,238.06,240.79,15,DST29,
jacksonville jaguars,,421,409.0,250.75,228.76,15,DST29,
jacksonville jaguars,,421,409.0,250.75,240.79,15,DST29,
tyler badie,,422,388.0,241.73,,15,RB118,
carolina panthers,,423,407.0,253.38,,15,DST30,
carolina panthers,,423,407.0,254.72,,15,DST30,
kalif raymond,,424,446.0,,,15,WR147,
new orleans saints,,425,412.0,250.79,,15,DST31,
new orleans saints,,425,412.0,254.2,,15,DST31,
antwane wells,,426,,,,15,WR148,
jimmy horn,,427,383.0,,,15,WR149,
nick folk,,428,,,,15,K30,
ja'quinden jackson,,429,,,,15,RB119,
tennessee titans,,430,405.0,252.08,,15,DST32,
tennessee titans,,430,405.0,255.48,,15,DST32,
jordan watkins,,431,370.0,,,15,WR150,
devontez walker,,432,396.0,,,15,WR151,
mason rudolph,,433,,243.53,,15,QB45,
jeremy ruckert,,434,447.0,,,15,TE57,
alec ingold,,435,,,,15,RB120,
robert woods,,436,,,,15,WR152,
david moore,,437,,,,15,WR153,
malik willis,,438,422.0,249.09,,15,QB46,
skyy moore,,439,392.0,246.53,,15,WR154,
casey washington,,440,,,,15,WR155,
tyler johnson,,441,450.0,,,15,WR156,
jonathan mingo,,442,458.0,,,15,WR157,
javon baker,,443,,,,15,WR158,
pierre strong,,444,,,,15,RB121,
stone smartt,,445,455.0,,,15,TE58,
elijah higgins,,446,457.0,241.75,,15,TE59,
mitchell evans,,447,438.0,,,15,TE60,
d'ernest johnson,,448,,,,15,RB122,
deshaun watson,,449,,,,15,QB47,
zach wilson,,450,430.0,244.1,,15,QB48,
colby parkinson,,451,398.0,241.79,,15,TE61,
carson steele,,452,449.0,,,15,RB123,
andy borregales,,453,,,,15,K31,
jeff wilson,,454,461.0,240.93,,15,RB124,
chris tyree,,455,,,,15,RB125,
malachi corley,,456,,,,15,WR159,
brock wright,,457,413.0,,,15,TE62,
aidan o'connell,,458,,,,15,QB49,
mitchell tinsley,,459,390.0,240.87,,15,WR160,
payne durham,,460,414.0,,,15,TE63,
russell gage,,461,,,,15,WR161,
daniel bellinger,,462,,,,15,TE64,
tyrell shavers,,463,406.0,241.88,,15,WR162,
jake bobo,,464,,,,15,WR163,
patrick ricard,,465,442.0,,,15,RB126,
john bates,,466,,,,15,TE65,
julian hill,,467,452.0,241.72,,15,TE66,
hunter luepke,,468,435.0,,,15,RB127,
matthew wright,,469,,,,15,K32,
greg dulcich,,470,,,,15,TE67,
clyde edwards-helaire,,471,,241.74,,15,RB128,
marcus mariota,,472,451.0,243.67,,15,QB50,
sione vaki,,473,,,,15,RB129,
sam howell,,474,445.0,242.43,,15,QB51,
michael carter,,475,,,,15,RB130,
mac jones,,476,423.0,246.03,,15,QB52,
khadarel hodge,,477,,,,15,WR164,
spencer shrader,,478,,,,16,K33,
thomas fidone,,479,,,,16,TE68,
trey lance,,480,416.0,241.79,,16,QB53,
c.j. ham,,481,443.0,,,16,RB131,
ezekiel elliott,,482,440.0,,,16,RB132,
rasheen ali,,483,,,,16,RB133,
gardner minshew,,484,,245.23,,16,QB54,
will howard,,485,,,,16,QB55,
andy dalton,,486,453.0,241.67,,16,QB56,
terrell jennings,,487,,,,16,RB134,
jase mcclellan,,488,,,,16,RB135,
cordarrelle patterson,,489,462.0,241.44,,16,RB136,
nathan carter,,490,,,,16,RB137,
konata mumpfield,,491,,,,16,WR165,
dylan laube,,492,,,,16,RB138,
jake browning,,493,,246.57,,16,QB57,
zonovan knight,,494,,,,16,RB139,
ben skowronek,,495,,,,16,WR166,
scotty miller,,496,,,,16,WR167,
quinn ewers,,497,437.0,242.47,,16,QB58,
beaux collins,,498,,,,16,WR168,
jamaal williams,,499,,,,16,RB140,
kylen granson,,500,,,,16,TE69,
harrison bryant,,501,,,,16,TE70,
adam trautman,,502,,,,16,TE71,
kendrick bourne,,503,464.0,242.18,,16,WR169,
johnny mundt,,504,,,,16,TE72,
luke lachey,,505,,,,16,TE73,
taylor heinicke,,506,429.0,,,16,QB59,
davis mills,,507,431.0,,,16,QB60,
trent sherfield,,508,,,,16,WR170,
tanner hudson,,509,444.0,,,16,TE74,
derius davis,,510,,,,16,WR171,
cooper rush,,511,,243.01,,16,QB61,
kyle trask,,512,433.0,241.82,,16,QB62,
mitchell trubisky,,513,,245.45,,16,QB63,
deejay dallas,,514,,,,16,RB141,
drew sample,,515,,,,16,TE75,
eric gray,,516,,,,16,RB142,
andrew beck,,517,,,,16,TE76,
luke farrell,,518,463.0,,,16,TE77,
josh williams,,519,,,,16,RB143,
robert tonyan,,520,456.0,241.75,,16,TE78,
