name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
brock purdy,,89,91.0,119.19,126.07,7,QB11,
deebo samuel,,90,90.0,76.55,73.17,7,WR41,
matthew golden,,91,88.0,74.39,70.14,7,WR42, Probably packers WR1...cheap rookie WR. WR1 for GB
zach charbonnet,,92,85.0,85.14,76.83,7,RB30,
kaleb johnson,,93,94.0,84.99,86.79,7,RB31,
justin fields,,94,101.0,134.52,144.0,7,QB12, i dont like... but on MB love list
josh downs,,95,99.0,99.4,92.79,7,WR43,
michael pittman,,96,98.0,95.75,89.17,7,WR44, maybe worth a late pick bc danny dimes qb??
jordan addison,,97,106.0,86.64,77.1,7,WR45, suspended first 3 games
tyler warren,,98,93.0,86.78,85.62,8,TE10, do we trust rookie TE? Love for keeper
jordan mason,,99,81.0,87.1,84.41,8,RB32, Ian Hartitz my guy... may get alot of work
jauan jennings,,100,103.0,92.16,88.14,8,WR46, MB love list HM. Might start on IL
drake maye,,101,102.0,128.15,137.03,8,QB13, runs... cheap
justin herbert,,102,100.0,143.51,157.62,8,QB14, MB hate list
caleb williams,,103,95.0,126.4,134.41,8,QB15, MB love list HM
j.k. dobbins,,104,92.0,91.53,89.79,8,RB33,
javonte williams,,105,105.0,100.53,100.07,8,RB34, MB hate
tucker kraft,,106,104.0,112.18,113.79,8,TE11,
jared goff,,107,108.0,120.86,134.59,8,QB16,
cooper kupp,,108,115.0,93.64,94.21,8,WR47,
chris godwin,,109,129.0,102.9,97.52,8,WR48, discount bc starting on IL
jordan love,,110,110.0,146.33,161.03,8,QB17,
trevor lawrence,,111,114.0,152.14,155.21,8,QB18,
jake ferguson,,112,109.0,130.57,132.41,8,TE12,
austin ekeler,,113,107.0,118.75,117.48,8,RB35,
jayden reed,,114,120.0,119.99,113.52,8,WR49,
c.j. stroud,,115,117.0,149.85,164.9,8,QB19,
j.j. mccarthy,,116,113.0,151.22,158.86,8,QB20,
darnell mooney,,117,112.0,114.49,111.9,8,WR50,
rhamondre stevenson,,118,118.0,124.53,129.66,8,RB36,
tank bigsby,,119,128.0,124.05,127.93,8,RB37,
keon coleman,,120,116.0,95.75,86.21,8,WR51, second year WR... hartitz my guy
cam skattebo,,121,130.0,110.88,110.76,8,RB38,
dalton kincaid,,122,127.0,137.11,142.72,8,TE13,
colston loveland,,123,119.0,122.73,123.72,9,TE14,
christian kirk,,124,122.0,109.65,102.34,9,WR52,
rashid shaheed,,125,126.0,123.42,113.0,9,WR53,
braelon allen,,126,111.0,113.53,108.66,9,RB39,
dallas goedert,,127,136.0,150.07,156.28,9,TE15, MB hate
rachaad white,,128,121.0,149.79,146.14,9,RB40,
jacory croskey-merritt,,129,123.0,97.87,93.59,9,RB41,
tua tagovailoa,,130,157.0,189.98,215.86,9,QB21, MB hate list
najee harris,,131,139.0,130.23,133.31,9,RB42,
bryce young,,132,140.0,181.93,196.48,9,QB22,
brandon aiyuk,,133,156.0,143.18,135.28,9,WR54,
marvin mims,,134,125.0,117.95,114.76,9,WR55,
michael penix,,135,149.0,182.94,197.62,9,QB23,
nick chubb,,136,133.0,128.77,124.24,9,RB43,
cedric tillman,,137,154.0,136.95,130.66,9,WR56,
luther burden,,138,159.0,132.66,122.14,9,WR57, rookie WR that might get alot of slot catches
rashod bateman,,139,152.0,133.05,131.41,9,WR58,
trey benson,,140,124.0,118.7,110.83,9,RB44,
brian robinson,,141,155.0,119.73,117.21,9,RB45,
ray davis,,142,137.0,139.69,135.34,9,RB46,
