player_name,team,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Colin Rea,CHC,96.43690231362469,107.5225598701123,101.1936165606819
Blake Snell,LAD,98.78915211178153,119.27145972266325,118.90764475494866
Kevin Gausman,TOR,97.35534591194968,103.18993710691825,100.69773584905658
Cristopher Sánchez,PHI,116.15822429906544,105.41724299065419,121.37453271028036
Max Fried,NYY,111.25087547169812,99.6809286792453,110.88018
Jesús Luzardo,PHI,102.8255157925239,121.53735052641746,123.65401188061432
Logan Webb,SFG,104.35591218980093,102.42233160621763,107.1417034815017
Connelly Early,BOS,97.68184351252464,107.93619007411579,107.30031053569753
Kyle Bradish,BAL,96.25513612472687,109.16621153959724,104.64871198251934
Kyle Freeland,COL,94.16575496117343,105.97212251941329,98.66170097374585
Paul Skenes,PIT,105.91921156124141,115.36736413172234,116.36729305851692
Yoshinobu Yamamoto,LAD,107.13807407407407,112.76237037037038,117.84325925925926
Tanner Bibee,CLE,99.30616208791209,104.16445659340661,102.56238736263737
Simeon Woods Richardson,MIN,84.7840208746342,103.78172940463828,90.40078489332579
Dylan Cease,SDP,106.26072759678601,101.4846720453003,105.66713818800369
Hunter Greene,CIN,119.51782786885245,104.37286885245899,124.2350819672131
Emmet Sheehan,LAD,101.06592301161747,105.4860221024798,108.66031721859181
Shane Smith,CHW,96.11553047404064,96.21765237020317,91.18469525959368
Bubba Chandler,PIT,109.01781453804348,107.00884307065216,118.64173301630434
Joey Cantillo,CLE,89.85908883826879,110.29603644646926,98.27025056947608
Mason Miller,SDP,120.18380319148936,82.00047429078013,104.91345744680851
Luis Castillo,SEA,96.31561200923787,113.05898383371824,103.40364896073903
Chris Sale,ATL,104.21563169164881,113.19019271948608,112.15177730192718
Shane Baz,TBR,106.21339208854273,93.29002801120448,101.31095169775227
Eury Pérez,MIA,122.21266686962,96.03545602911329,115.76546984393589
Quinn Priester,MIL,96.4465934065934,102.45846153846155,100.29318681318682
Shohei Ohtani,LAD,123.01021834061137,100.35563318777294,120.8646288209607
Logan Allen,CLE,94.22179347826088,99.76940217391304,92.03461956521738
Clayton Kershaw,LAD,101.18906779190495,80.97090278163344,89.36514130253732
Cade Smith,CLE,110.03837671517674,114.01182037422039,122.03610977130977
Stephen Kolek,KCR,94.88493612509939,106.28604770739464,100.84912218393852
Bryce Elder,ATL,91.45190849169663,111.9305966444102,103.47323103920563
Tyler Glasnow,LAD,95.905556243525,87.57547538688164,87.55438714063716
Casey Mize,DET,95.13871624757692,112.64858656182598,109.6581947743468
Aaron Nola,PHI,104.40007752750131,104.39645783132529,108.76415662650602
Davis Martin,CHW,94.69427323348694,96.8141013824885,92.42344662058372
George Kirby,SEA,101.02157391920622,112.1323571934798,111.61522437987243
Cade Horton,CHC,95.96303703703705,114.06674074074073,107.60814814814813
Carlos Rodón,NYY,104.72968595041321,99.1556171564126,102.12167187021734
Brandon Sproat,NYM,111.67498992771655,84.72460560097959,92.68303748469408
Bailey Ober,MIN,87.36997417518288,100.27550588620709,88.19556775758355
Randy Vásquez,SDP,104.65417746562524,108.15734203385462,103.66927535678377
Merrill Kelly,TEX,91.05578154188676,105.23353456000936,98.23272141379194
Andrew Abbott,CIN,98.34610273957482,113.32552862675021,110.5957807317694
Jameson Taillon,CHC,91.42433734939759,107.90524945937597,96.71370790855731
Brandon Woodruff,MIL,102.29328149441594,112.79698088326244,106.94742651606097
Edwin Díaz,NYM,110.44477157360406,94.26453468697122,107.96461928934012
Chris Bassitt,TOR,92.36520991237973,87.44762887706285,84.00075149169488
Andrew Alvarez,WSN,87.44575897129187,105.90049342105263,98.83972129186603
Grant Taylor,CHW,98.36066115702481,123.97305785123969,123.77454545454545
Bryan Woo,SEA,106.69023121387285,110.23849710982658,110.45601156069364
Joe Boyle,TBR,110.89695817490495,91.79163498098859,106.28053231939163
Nolan McLean,NYM,119.09394335511983,94.07032679738562,114.10644880174291
Garrett Whitlock,BOS,101.07574803149608,115.16078740157482,113.76314960629921
Jack Leiter,TEX,102.12641360824742,95.9480894845361,99.63264659793813
Cam Schlittler,NYY,108.27981651376147,98.15577981651376,105.54261467889908
Mike Burrows,PIT,101.77643002544531,103.46209541984732,107.14165521628499
Jeffrey Springs,ATH,94.59056225184347,103.0077311401021,101.01974404424277
Eduard Bazardo,SEA,105.19384722222222,107.98158333333336,103.8914861111111
Jimmy Herget,COL,96.9387744107744,95.45059932659932,90.43787205387204
Cade Cavalli,WSN,107.15695024570026,95.95463528869779,103.76348510442261
Slade Cecconi,CLE,91.87370213549336,109.10660392120766,98.33254464285717
Kyle Hendricks,LAA,82.09737713199026,106.6947848058817,89.31086009021782
Phil Maton,TEX,107.01146198830409,109.76152046783626,117.86070175438597
Justin Wrobleski,LAD,112.83970845481049,117.57744897959184,126.28999999999998
Cristian Javier,HOU,93.22805189805189,98.79842226842227,93.57972664972664
AJ Blubaugh,HOU,103.00452279957581,95.00008660303993,98.96450159066808
Matt Svanson,STL,111.42605869565216,99.37910217391304,106.5581891304348
Jacob Latz,TEX,98.66725254515597,103.99321116584565,104.17405123152707
Aaron Ashby,MIL,126.82630234474328,103.33767683249573,127.13019330353977
Jared Koenig,MIL,108.1482187938289,103.45461991584854,107.75997194950911
Janson Junk,MIA,97.54061349693254,108.97766871165645,105.30613496932516
Will Vest,DET,103.652,109.44529268292682,112.67613414634148
Chad Patrick,MIL,106.37574879227053,95.58513541209193,100.15231152100719
