player_name,team,Stuff+,Location+,Pitching+
Tarik Skubal,DET,116.02188510491914,104.83583075335396,119.26732026143796
Paul Skenes,PIT,106.85075025008342,111.42433477825932,115.71965988662888
Cristopher Sánchez,PHI,114.26911295911295,100.82887733887739,116.98643797643798
Garrett Crochet,BOS,116.0578166772756,99.45848504137494,112.13995544239341
Logan Webb,SFG,104.6548623853211,107.33475840978598,110.79589602446485
Jesús Luzardo,PHI,101.6013621262458,111.64176079734222,112.91170764119593
Yoshinobu Yamamoto,LAD,97.89128904847394,110.01208617594247,110.3538743267504
Max Fried,NYY,111.27773985833873,101.60512556342573,113.10223438506115
Hunter Brown,HOU,107.18984417344177,95.07353658536589,103.31539295392953
Kevin Gausman,TOR,99.78407272727274,102.90812561983472,102.17886280991739
Zack Wheeler,PHI,111.6450397655923,107.29908748430299,119.70692339891174
Ranger Suárez,PHI,95.9450676506765,112.60099220992207,106.94830668306685
Framber Valdez,HOU,108.15152189020155,99.38061848505909,109.18857539958302
Andrew Abbott,CIN,96.91826021747283,103.58473940757405,98.97014623172102
Nathan Eovaldi,TEX,97.26031331592692,105.7432898172324,104.40327937336812
Nick Pivetta,SDP,97.9044099913867,109.27569910996273,103.7193913293138
Michael Wacha,KCR,97.63258198266112,102.34121372031663,99.25256690539018
Freddy Peralta,MIL,102.25498059508406,104.30470245795604,106.82167529107365
Bryan Woo,SEA,104.76842688330873,109.53159527326437,110.97521418020675
Chris Sale,ATL,106.74592500211435,105.0918618241338,105.52045592741672
Sonny Gray,STL,95.83399483585394,102.23906307635556,101.24634452231656
Matthew Boyd,CHC,94.10290949065589,107.07342616342987,96.92240381091976
Dylan Cease,SDP,107.60855354200987,100.22083031301483,107.4003953871499
Jacob deGrom,TEX,110.72691924990431,105.79580558744732,119.38315346345199
Kris Bubic,KCR,93.28014476614693,103.38664810690426,99.81203786191536
Trevor Rogers,BAL,92.39477832512311,105.10316502463048,97.62370689655172
Carlos Rodón,NYY,104.21663749999999,95.64558124999999,99.76002500000003
David Peterson,NYM,89.78314338919924,102.14303165735572,96.10158659217878
Joe Ryan,MIN,103.44091389771225,105.82673027225701,105.90543401933337
Merrill Kelly,- - -,90.43684648734445,105.04934323731776,97.34058814654543
José Soriano,LAA,94.74868222621186,110.90191741472175,107.95341472172342
Hunter Greene,CIN,123.54768789443486,101.97032702237522,123.49258749282842
MacKenzie Gore,WSN,97.61171235315052,98.12578853684587,97.0627554289782
Brady Singer,CIN,95.15404150545197,100.29759409074923,93.77243756595148
Nick Lodolo,CIN,102.33140117081682,101.49182875268461,100.20996312725755
Cade Smith,CLE,108.0495246179966,106.9518336162988,114.5446179966044
Aroldis Chapman,BOS,107.72594298245609,124.86844298245609,129.73627192982462
Luis Castillo,SEA,96.17610589812332,105.80337131367298,100.45015415549594
Dean Kremer,BAL,95.03996460672728,101.38959524355148,95.5343445963724
Chad Patrick,MIL,105.1405653237093,97.72973578308992,100.89613386169876
Logan Gilbert,SEA,95.85941422594142,110.32838679683861,107.51413296141335
Drew Rasmussen,TBR,111.94513840830454,100.12907439446369,108.86992214532873
Jack Flaherty,DET,98.3223700035373,102.3922674212947,100.37691545808272
Luis Severino,ATH,109.6434078417003,97.20252839868084,105.11240014657379
Janson Junk,MIA,94.4931450838327,113.43810495894223,107.19845096233482
Clayton Kershaw,LAD,95.72872653651461,92.29701157898936,91.97968735956033
Mitch Keller,PIT,95.04036211699166,98.72426880222837,93.98529944289693
Yusei Kikuchi,LAA,94.93767171880043,105.56131570461142,103.16405675588517
Kyle Freeland,COL,94.63670276774968,102.59910148415561,96.60113918973124
Chris Bassitt,TOR,95.86998389127025,100.8844422370795,95.37482785180161
George Kirby,SEA,97.96446869070212,112.41471537001898,109.43831119544595
Spencer Schwellenbach,ATL,109.90322087842142,109.0253723742839,117.98162953532784
Casey Mize,DET,95.65650658733531,106.52951976200595,103.45702507437313
Adrian Houser,- - -,92.56424182903837,106.46178750074827,99.34386235327366
Jack Leiter,TEX,107.01084430673895,91.36240123934931,99.59425251742837
Justin Verlander,SFG,106.10941538461537,93.3089230769231,97.74684615384619
Garrett Whitlock,BOS,99.10684745762717,111.77459322033894,108.48247457627114
Adrian Morejon,SDP,119.70414342629485,102.226952191235,119.15872509960161
Bryan Abreu,HOU,110.42687973086623,89.98057190916738,102.84218671152225
Shane Smith,CHW,95.03372305140962,98.16101990049752,95.15189054726363
Robbie Ray,SFG,97.35040182946754,95.13050637046717,93.29605357726234
Cade Horton,CHC,96.2358370142793,101.23823319893711,97.44973767255864
Jhoan Duran,- - -,125.33996345421212,97.30495876995086,122.64321576061533
Nick Martinez,CIN,91.04396323592796,108.4977934078192,98.9104692824116
Will Warren,NYY,100.29404574696217,99.63031451036454,102.68825589706931
Cole Ragans,KCR,108.8084543761639,100.44040968342645,106.7336312849162
Emmet Sheehan,LAD,102.05342225906959,103.94986038394413,108.30270861962578
David Bednar,- - -,105.68869140624999,107.2371875,109.8535546875
Mason Miller,- - -,122.81710773090569,89.49899309372294,113.31420497229999
Ryne Nelson,ARI,108.05603726193631,99.76993869963987,105.89839481064148
Ryan Pepiot,TBR,109.4701557863501,96.73773738872403,105.82977744807125
Edward Cabrera,MIA,105.04932324131788,101.42909171861088,107.15883348174535
Edwin Díaz,NYM,109.65515492957749,93.2823849765258,105.40386854460097
Shane Baz,TBR,107.38355231143552,98.09762252346192,106.91356273896422
Lucas Giolito,BOS,91.8534039847393,98.10665536244171,91.11984739296315
Tyler Mahle,TEX,91.07164739884391,110.79218208092485,102.29505780346821
Shohei Ohtani,LAD,119.48010624169987,98.90833997343961,117.82937583001332
Brayan Bello,BOS,96.42944006409535,101.0091054567704,97.98074370732643
Robert Suarez,SDP,112.91581308411213,107.34783177570091,118.3577009345794
Clay Holmes,NYM,104.43792150225337,101.0086494288857,106.39670586302681
Andrés Muñoz,SEA,120.08420123565752,87.4458252427184,102.1100441306267
Blake Snell,LAD,97.93716242661449,112.18340508806263,112.54502935420744
Quinn Priester,MIL,97.60340695421394,100.05113226436919,97.38614662348783
Eury Pérez,MIA,117.86377245508977,93.70312574850301,109.72908982035926
Patrick Corbin,TEX,95.9040602839047,100.7445321543289,97.86817667738171
Tanner Bibee,CLE,102.07660779740097,98.7840253248917,100.6742352549151
Colin Rea,CHC,94.87587859727236,101.21016751742002,95.52095784084092
Noah Cameron,KCR,94.10494893221916,101.34177344475394,98.55374187558036
Kyle Hendricks,LAA,82.5290611608882,107.76841449162447,91.19412543825479
Pablo López,MIN,93.36568924302787,112.26892430278886,105.89768924302786
Matthew Liberatore,STL,96.10877207737597,99.07670311185866,95.51466778805718
Taj Bradley,- - -,101.63093155450937,89.92637293443737,92.55861177599105
Brandon Woodruff,MIL,96.38792887029288,106.78583682008373,100.89462343096235
Will Vest,DET,105.80664898320073,108.04682581786037,111.99115826702035
Sandy Alcantara,MIA,108.38941747572818,100.77856449375865,106.88464632454924
Jeffrey Springs,ATH,93.79518386056775,98.4389011293495,92.93791010423108
Sean Newcomb,- - -,100.94615631767103,95.66438817927369,93.19534431399265
Logan Allen,CLE,92.45483332769872,97.36852130470479,90.08315533533599
Grant Taylor,CHW,94.7648455686027,120.78113088915046,117.47432396428468
Stephen Kolek,- - -,95.90554325292827,101.06976275944304,98.75422204394184
Gabe Speier,SEA,112.72353963083602,107.43845819761125,113.18162866449515
Griffin Jax,- - -,109.16791893682421,116.61186711682706,126.62400709423969
Jack Dreyer,LAD,98.67249098024406,96.93756293232181,96.56622867784624
Abner Uribe,MIL,117.43093264248706,99.06241796200347,114.12326424870466
Brandon Pfaadt,ARI,97.20974587912087,104.11674450549445,101.37531593406588
Carmen Mlodzinski,PIT,104.28949889853553,100.33821327959524,104.50736566346094
Tyler Glasnow,LAD,98.25986449864499,90.93253387533878,94.14571815718156
Graham Ashcraft,CIN,121.93509214354994,100.95150339476236,124.49291949563532
Steven Okert,HOU,115.25803446734818,97.3037129955496,109.41698078319644
Braxton Ashcraft,PIT,105.25775930834287,100.75947032200068,104.86929948939857
Trevor Megill,MIL,128.42537234042555,106.3266755319149,132.616994680851
Matt Strahm,PHI,108.10200404858301,94.04874493927132,97.60908906882592
Phil Maton,- - -,104.28241876111838,101.84718480476973,108.30684029426018
Justin Wrobleski,LAD,104.08279722130254,107.0851919173572,108.91513660005644
Joey Cantillo,CLE,88.96586139180816,103.88316679470604,92.38601567289525
Tylor Megill,NYM,107.67055194805188,97.29258116883112,104.1175487012987
Zack Littell,- - -,85.18083508940512,103.91107933988725,92.6056892200089
Gavin Williams,CLE,102.58832708688247,94.63134582623509,98.99937989778536
Randy Rodríguez,SFG,121.47999999999998,95.41796273291929,118.33850931677019
Kodai Senga,NYM,94.09807874015752,94.81076115485564,93.54681364829398
Cade Povich,BAL,96.84022596801412,99.46902470941932,95.38918943888112
Kyle Leahy,STL,101.30935786278084,104.58117176684877,108.30342425622344
Jose A. Ferrer,WSN,109.94740066225164,104.34291390728477,111.85927152317879
