Rank,Player,May,Apr,Mar,Feb,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA
,Joey Estes,,,,,683155,ATH,AL,#N/A,0,85%,#N/A,5.54,15.90%,1.38,#N/A,#N/A,#N/A,#N/A,#N/A
,Joey Wentz,,,,,666214,ATL,NL,#N/A,67,86%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Jon Gray,,,,,592351,0,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Jonathan Cannon,,,,,686563,CHW,AL,-5.6,0,88%,#N/A,4.94,16.80%,1.41,#N/A,#N/A,#N/A,#N/A,#N/A
,Jordan Montgomery,,,##,##,656756,TEX,AL,-2.9,0,#N/A,#N/A,4.59,18.60%,1.36,#N/A,#N/A,#N/A,#N/A,#N/A
,Jordan Wicks,,,,,696136,CHC,NL,#N/A,0,#N/A,14.71%,4.39,18.60%,1.3,97,115,111,15.63,3.87
,Jose Quintana,,,,,500779,COL,NL,-9.4,0,84%,1.66%,6.05,13.90%,1.58,80,104,86,5.27,5.88
,Jose Urena,,,,,570632,,,#N/A,0,69%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Jose Urquidy,,,,,#N/A,PIT,NL,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Josiah Gray,,,,,680686,WSN,NL,#N/A,0,#N/A,#N/A,4.91,20.10%,1.41,#N/A,#N/A,#N/A,#N/A,#N/A
,JP Sears,,,##,##,676664,SDP,NL,#N/A,124,93%,#N/A,4.64,19.10%,1.28,#N/A,#N/A,#N/A,#N/A,#N/A
,Keaton Winn,,,,,676775,SFG,NL,#N/A,0,#N/A,14.29%,3.95,21.10%,1.31,100,106,107,3.23,3.59
,Kenta Maeda,,,,,628317,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Kutter Crawford,,,##,##,676710,BOS,AL,#N/A,62,#N/A,#N/A,4.48,22.20%,1.27,#N/A,#N/A,#N/A,#N/A,#N/A
,Kyle Freeland,,,,,607536,COL,NL,-10.2,0,82%,11.83%,5.38,16.70%,1.44,92,101,93,7.98,4.38
,Kyle Hart,,,,,606996,SDP,NL,#N/A,0,76%,7.59%,4.27,19.30%,1.33,108,92,99,4.43,4.28
,Kyle Hendricks,,,,,543294,,,#N/A,0,90%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Lance Lynn,,,,,458681,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Landon Knack,,,,,689017,LAD,NL,#N/A,0,81%,#N/A,5.15,20.10%,1.38,#N/A,#N/A,#N/A,#N/A,#N/A
,Logan Allen,,,##,##,671106,CLE,AL,-1.8,94,94%,#N/A,4.45,19.40%,1.37,#N/A,#N/A,#N/A,#N/A,#N/A
,Luis Castillo,,,,,622379,#N/A,,#N/A,0,75%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Luis Medina,,,,,665622,ATH,AL,#N/A,71,#N/A,15.54%,4.35,21.80%,1.39,99,95,95,4.54,3.62
,Luis Morales,,,##,##,806960,ATH,AL,#N/A,138,77%,-9.09%,4.95,20.30%,1.41,93,79,75,14.46,7.49
,Marcus Stroman,,,,,573186,0,,#N/A,0,74%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Mason Black,,,,,696131,KCR,AL,#N/A,0,#N/A,8.45%,5.22,17.70%,1.48,95,100,96,2.87,4.77
,Matt Waldron,,,,,663362,SDP,NL,#N/A,0,82%,13.64%,4.37,19.20%,1.23,94,109,104,8.49,3.99
,Michael Lorenzen,,,,,547179,COL,NL,-11.6,0,73%,10.23%,5.4,17.70%,1.49,88,102,92,7.13,4.44
,Mitch Spence,,,,,687765,KCR,AL,-5.1,0,88%,-4.88%,5.06,15.40%,1.42,89,90,82,13.5,6.1
,Mitchell Parker,,,,,680730,WSN,NL,-2.1,0,96%,12.58%,4.75,18.30%,1.37,95,104,98,6.09,4.01
,Nestor Cortes,,,##,##,641482,,,#N/A,0,70%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Nick Nastrini,,,,,680897,#N/A,,#N/A,0,#N/A,#N/A,5.65,18.70%,1.61,#N/A,#N/A,#N/A,#N/A,#N/A
,Osvaldo Bido,,,,,674370,TBR,AL,#N/A,0,79%,1.23%,#N/A,#N/A,#N/A,99,90,86,6.27,5.55
,Paul Blackburn,,,,,621112,NYY,AL,#N/A,0,61%,7.97%,4.39,18.70%,1.33,93,99,94,3.03,4.08
,Paxton Schultz,,,,,687606,TOR,AL,#N/A,0,#N/A,14.93%,4.69,20.30%,1.37,91,105,96,5.52,3.86
,Reynaldo Lopez,##,69,##,##,625643,ATL,NL,2.8,129,59%,8.99%,4.26,22.80%,1.3,90,96,86,3.76,4.6
,Ricky Tiedemann,,,,,694357,TOR,AL,#N/A,40,#N/A,#N/A,3.91,25.30%,1.34,#N/A,#N/A,#N/A,#N/A,#N/A
,Roddery Munoz,,,,,682610,HOU,AL,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Ross Stripling,,,,,548389,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Ryan Bergert,,,##,##,686701,KCR,AL,#N/A,84,78%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Ryan Feltner,,,,,663372,COL,NL,-11.5,0,74%,9.83%,5.21,18.40%,1.51,93,97,93,5.05,4.59
,Ryan Weiss,,,##,##,680802,HOU,AL,#N/A,90,#N/A,7.63%,4.6,21.10%,1.61,102,91,93,7.62,4.76
,Ryan Yarbrough,,,,,642232,NYY,AL,#N/A,0,82%,10.19%,4.55,18.30%,1.31,99,101,95,3.08,4.2
,Sawyer Gipson-Long,,,,,687830,DET,AL,#N/A,67,63%,#N/A,4.38,19.00%,1.26,#N/A,#N/A,#N/A,#N/A,#N/A
,Sean Newcomb,,,##,##,656794,CHW,AL,#N/A,86,#N/A,17.06%,3.53,23.50%,1.28,108,101,107,2.76,3.21
,Shane Smith,,,##,##,681343,CHW,AL,-2.7,161,83%,4.08%,4.39,21.60%,1.34,97,92,91,10.8,5.52
,Shinnosuke Ogasawara,,,,,,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Simeon Woods Richardson,,,##,##,680573,MIN,AL,-2,97,91%,0.79%,4.84,18.20%,1.37,88,96,88,6.75,5.78
,Sixto Sanchez,,,,,664350,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Spencer Turnbull,,,,,605513,0,,#N/A,0,62%,#N/A,4.96,15.90%,1.47,#N/A,#N/A,#N/A,#N/A,#N/A
,Taijuan Walker,,,,,592836,PHI,NL,#N/A,0,68%,5.22%,5.44,15.30%,1.46,88,93,82,9.13,5.13
,Thomas Harrington,,,,,802419,PIT,NL,#N/A,0,79%,#N/A,4.97,17.00%,1.41,#N/A,#N/A,#N/A,#N/A,#N/A
,Tobias Myers,,,,,668964,MIL,NL,-0.9,52,84%,11.72%,4.18,20.20%,1.25,103,96,100,5.71,4.17
,Tommy Henry,,,,,674072,#N/A,,#N/A,0,#N/A,#N/A,5.37,15.90%,1.55,#N/A,#N/A,#N/A,#N/A,#N/A
,Tomoyuki Sugano,,,,,608372,COL,NL,-18.7,0,82%,6.07%,5.99,13.90%,1.51,80,103,88,4.79,5.19
,Trevor Williams,,,,,592866,WSN,NL,-3.6,0,75%,#N/A,4.75,18.20%,1.4,#N/A,#N/A,#N/A,#N/A,#N/A
,Triston McKenzie,,,##,##,663474,SDP,NL,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Ty Blach,,,,,621389,#N/A,,#N/A,0,#N/A,#N/A,4.65,15.20%,1.36,#N/A,#N/A,#N/A,#N/A,#N/A
,Tyler Alexander,,,,,641302,TEX,AL,-2.1,0,#N/A,10.69%,4.51,18.80%,1.29,97,106,102,3,3.85
,Tyler Anderson,,,,,542881,,,#N/A,0,87%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Tyler Phillips,,,,,663969,MIA,NL,-8.3,0,#N/A,7.89%,4.45,18.20%,1.39,97,98,97,3.1,4.57
,Tyler Wells,,,##,##,669330,BAL,AL,#N/A,71,53%,18.18%,4.37,22.10%,1.21,97,105,102,3.55,3.53
,Valente Bellozo,,,,,678368,#N/A,,#N/A,0,#N/A,2.08%,6.48,13.40%,1.56,86,87,74,7.59,5.62
,Xzavion Curry,,,,,675540,#N/A,,#N/A,0,#N/A,#N/A,5.92,13.00%,1.45,#N/A,#N/A,#N/A,#N/A,#N/A
,Yariel Rodriguez,,,,,684320,TOR,AL,#N/A,0,#N/A,-2.22%,4.13,23.60%,1.35,98,91,94,7.71,5.92
,Yoendrys Gomez,,,,,672782,TBR,AL,#N/A,0,81%,11.04%,4.2,23.50%,1.31,114,79,91,3.86,4.37
,Zack Littell,,,##,##,641793,,,-5,0,91%,5.77%,5.16,15.80%,1.33,83,98,82,5.45,5.3
