Rank,Player,May,Apr,Mar,Feb,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA
40,Emmet Sheehan,49,39,24,25,686218,LAD,NL,11.3,136,65%,20.45%,3.69,27.40%,1.15,98,109,108,4.76,3.42
41,Gage Jump,,,##,##,695611,ATH,AL,-0.6,99,#N/A,13.83%,3.89,24.40%,1.26,107,96,103,3.09,4.1
42,Sonny Gray,43,34,37,42,543243,BOS,AL,13.4,168,83%,13.67%,3.82,24.20%,1.23,102,99,104,3.03,3.96
43,Reid Detmers,60,66,71,72,672282,LAA,AL,15.9,149,#N/A,21.41%,3.65,26.80%,1.19,105,110,111,3.68,3.33
44,Max Meyer,61,71,79,80,676974,MIA,NL,9.6,152,66%,17.85%,3.98,23.60%,1.29,97,106,105,2.75,3.67
45,Ranger Suarez,53,56,59,57,624133,BOS,AL,13.5,165,91%,17.13%,4.04,21.70%,1.29,95,104,100,3.21,3.74
46,Dustin May,82,79,99,83,669160,STL,NL,9.2,158,60%,16.41%,3.98,21.90%,1.29,103,102,105,3.75,3.75
47,Framber Valdez,37,15,13,13,664285,DET,AL,11.9,183,90%,9.54%,3.73,21.30%,1.27,103,99,104,4.09,4.42
48,Kyle Bradish,36,30,15,15,680694,BAL,AL,9.6,153,57%,12.54%,3.87,24.30%,1.27,100,99,101,4,4.23
49,Michael King,39,35,41,37,650633,SDP,NL,10.4,161,76%,10.92%,4.06,22.90%,1.27,96,100,97,3.6,4.43
50,Tanner Bibee,55,60,45,47,676440,CLE,AL,7.9,181,96%,13.16%,3.9,22.50%,1.22,105,100,104,3.96,4.22
51,Shota Imanaga,28,51,60,58,684007,CHC,NL,13.1,168,92%,17.77%,4.31,22.10%,1.18,93,108,101,4.26,3.72
52,MacKenzie Gore,57,28,36,38,669022,TEX,AL,10.6,163,87%,15.18%,3.82,25.80%,1.25,99,101,100,4.27,4.03
53,Griffin Jax,74,,,,643377,TBR,AL,7.9,111,#N/A,12.50%,3.24,26.90%,1.18,106,102,111,3.68,4.11
54,Connor Prielipp,44,,,,687570,MIN,AL,3.9,116,#N/A,14.29%,3.88,24.10%,1.32,103,103,102,5.26,4.11
55,Landen Roupp,50,59,82,90,694738,SFG,NL,5.1,158,81%,15.97%,3.77,23.60%,1.33,99,108,107,4.24,3.78
56,Cade Cavalli,92,96,88,88,676917,WSN,NL,6.8,148,56%,16.82%,3.89,22.20%,1.32,102,96,97,3.98,3.71
57,Emerson Hancock,52,65,##,##,676106,SEA,AL,5.5,149,80%,18.53%,3.93,20.70%,1.25,101,107,103,3.28,3.59
58,Luis Castillo,64,36,47,49,622491,SEA,AL,10.6,137,88%,13.42%,3.78,22.60%,1.19,98,109,104,5,4.16
59,Sandy Alcantara,65,40,46,48,645261,MIA,NL,3.2,188,70%,12.27%,4.15,19.90%,1.28,101,104,104,4.18,4.24
60,Michael Soroka,58,64,##,##,647336,ARI,NL,6,151,62%,18.84%,4.04,23.00%,1.29,94,107,99,3.11,3.56
61,Connelly Early,38,42,66,##,813349,BOS,AL,3.6,141,78%,13.15%,4.17,22.80%,1.33,101,98,100,3.81,4.21
62,Nick Lodolo,42,,29,30,666157,CIN,NL,6.1,117,83%,7.65%,3.86,23.60%,1.21,107,90,93,6.12,4.84
63,Casey Mize,,,,,663554,DET,AL,9.8,124,77%,18.93%,4.16,20.80%,1.27,89,105,96,2.58,3.67
64,Foster Griffin,77,##,##,##,656492,WSN,NL,8.2,155,#N/A,16.43%,4.23,21.80%,1.28,98,101,98,3.32,3.78
65,Taj Bradley,,49,82,97,671737,MIN,AL,4.7,156,88%,16.08%,3.87,24.70%,1.25,108,89,97,4.14,3.94
66,Ian Seymour,,,##,##,693855,TBR,AL,2.8,101,83%,13.41%,3.9,23.50%,1.21,104,97,101,4.93,4.06
67,Bubba Chandler,70,50,35,36,696149,PIT,NL,-1.4,144,73%,8.97%,3.98,23.30%,1.33,105,103,110,4.76,4.81
68,Roki Sasaki,95,##,##,##,808963,LAD,NL,3.3,133,68%,14.81%,4.1,23.00%,1.3,107,97,105,4.76,3.98
69,Aaron Nola,68,41,51,51,605400,PHI,NL,11.1,162,81%,15.21%,4.02,23.20%,1.22,107,102,107,5.86,3.94
70,Noah Cameron,##,84,##,##,702070,KCR,AL,2.4,152,88%,15.93%,4.59,19.70%,1.33,95,109,106,4.11,3.91
71,Sean Burke,87,98,##,##,680732,CHW,AL,-3.5,163,85%,14.38%,4.36,22.70%,1.35,97,103,99,4.15,4.03
72,Davis Martin,72,##,##,##,663436,CHW,AL,5.4,143,84%,18.86%,4.19,20.40%,1.32,91,97,89,3.31,3.49
73,Edward Cabrera,48,54,33,34,665795,CHC,NL,5.6,148,72%,12.54%,3.96,24.00%,1.28,93,104,98,5.21,4.22
74,Jack Leiter,54,53,70,71,683004,TEX,AL,1.9,168,84%,13.73%,4.1,23.80%,1.29,102,94,98,4.97,4.18
75,Jack Perkins,,,##,##,678022,ATH,AL,-2.2,56,73%,18.82%,3.96,24.70%,1.3,103,105,107,6.15,3.31
76,Shane Baz,78,55,69,63,669358,BAL,AL,0.8,161,74%,9.86%,4.3,21.80%,1.31,99,100,101,4.06,4.63
77,Bryce Elder,67,##,##,##,693821,ATL,NL,-0.3,172,92%,12.57%,4.55,18.80%,1.37,85,104,93,3.15,4.22
78,Andrew Alvarez,,,,,674841,WSN,NL,,92,#N/A,15.70%,4.6,18.10%,1.43,96,105,105,3.49,3.38
79,Ryne Nelson,62,58,77,78,669194,ARI,NL,-0.7,163,85%,11.27%,4.24,20.20%,1.26,105,103,108,4.97,4.68
80,Sean Manaea,,,##,94,640455,NYM,NL,6.4,135,73%,15.89%,3.94,23.40%,1.22,103,98,96,4.78,3.6
