Name,taken,Team,Pos,Age,ETA,Draft,Highest Level,Fangraphs,Baseball Prospectus,ESPN,MLB Pipeline,The Athletic,Oopsy,avg,top_projection,num_places_ranked
Alfredo Duno,X,CIN,C,20.1,2028.0,2023 FA,A,22.0,63.0,29.0,38.0,80.0,17.0,46.4,22.0,5
Jonah Tong,X,NYM,P,22.7,2026.0,2022 #209,MLB,58.0,23.0,31.0,48.0,72.0,6.0,46.4,23.0,5
Jett Williams,X,MIL,SS,22.3,2026.0,2022 #14,AAA,75.0,41.0,32.0,51.0,45.0,23.0,48.8,32.0,5
Connelly Early,X,BOS,P,23.9,2026.0,2023 #151,MLB,38.0,43.0,48.0,56.0,64.0,18.0,49.8,38.0,5
Mike Sirota,,LAD,OF,22.7,2027.0,2024 #87,A+,,34.0,55.0,60.0,51.0,,50.0,34.0,4
Jamie Arnold,,ATH,P,21.9,2027.0,2025 #11,,,58.0,60.0,41.0,43.0,,50.5,41.0,4
Kevin Alcantara,X,CHC,OF,23.6,,2018 FA,MLB,60.0,,,,41.0,106.0,50.5,41.0,2
Gage Jump,,ATH,P,22.9,2026.0,2024 #73,AA,81.0,37.0,42.0,57.0,37.0,107.0,50.8,37.0,5
JoJo Parker,,TOR,SS,19.5,2029.0,2025 #8,,,49.0,52.0,45.0,60.0,,51.5,45.0,4
Josue Briceno,,DET,C,21.4,2027.0,2022 FA,AA,63.0,53.0,44.0,40.0,59.0,12.0,51.8,40.0,5
Cam Caminiti,X,ATL,P,19.5,2027.0,2024 #24,A,,,53.0,68.0,35.0,,52.0,35.0,3
Connor Prielipp,,MIN,P,25.1,,2022 #48,AAA,,,54.0,,,,54.0,54.0,1
Angel Genao,X,CLE,3B,21.8,2026.0,2021 FA,AA,42.0,55.0,80.0,66.0,31.0,88.0,54.8,31.0,5
Robby Snelling,X,MIA,P,22.2,2026.0,2022 #39,AAA,80.0,57.0,47.0,39.0,63.0,39.0,57.2,39.0,5
Jarlin Susana,X,WAS,P,21.9,2027.0,2022 FA,AA,29.0,47.0,74.0,80.0,,34.0,57.5,29.0,4
Chase DeLauter,X,CLE,OF,24.4,2026.0,2022 #16,MLB,26.0,94.0,43.0,46.0,81.0,,58.0,26.0,5
Michael Arroyo,,SEA,SS,21.3,2026.0,2022 FA,AA,78.0,35.0,62.0,67.0,49.0,32.0,58.2,35.0,5
Seth Hernandez,,PIT,P,19.6,2028.0,2025 #6,,45.0,68.0,49.0,29.0,100.0,,58.2,29.0,5
Edward Florentino,,PIT,OF,19.3,2028.0,2024 FA,A,101.0,21.0,78.0,50.0,42.0,,58.4,21.0,5
Eduardo Tait,,MIN,C,19.5,2028.0,2023 FA,A+,46.0,54.0,38.0,65.0,93.0,52.0,59.2,38.0,5
Charlie Condon,X,COL,OF,22.9,2026.0,2024 #3,AA,67.0,,,70.0,46.0,,61.0,46.0,3
Moises Ballesteros,X,CHC,C,22.3,2026.0,2021 FA,MLB,84.0,80.0,51.0,55.0,47.0,21.0,63.4,47.0,5
Luis De Leon,,BAL,P,22.9,,2021 FA,AA,64.0,,,,,,64.0,64.0,1
Trey Gibson,,BAL,P,23.8,,2023 FA,AAA,83.0,,46.0,,,77.0,64.5,46.0,2
Joe Mack,,MIA,C,23.2,2026.0,2021 #31,AAA,56.0,92.0,61.0,62.0,52.0,97.0,64.6,52.0,5
AJ Ewing,,NYM,SS,21.5,2027.0,2023 #134,AA,,38.0,28.0,97.0,98.0,36.0,65.25,28.0,4
Braden Montgomery,X,CHW,OF,22.9,2026.0,2024 #12,AA,100.0,99.0,,36.0,30.0,,66.25,30.0,4
Dylan Beavers,X,BAL,OF,24.5,2026.0,2022 #33,MLB,39.0,62.0,57.0,69.0,106.0,78.0,66.6,39.0,5
Ralphy Velazquez,,CLE,1B,20.7,2027.0,2023 #23,AA,40.0,,33.0,89.0,106.0,,67.0,33.0,4
Tyson Lewis,,CIN,SS,20.1,,2024 #51,A,,66.0,,,68.0,,67.0,66.0,2
Tyler Bremner,,LAA,P,21.8,2026.0,2025 #2,,52.0,79.0,56.0,81.0,,,67.0,52.0,4
Justin Crawford,X,PHI,OF,22.1,2026.0,2022 #17,AAA,,98.0,69.0,53.0,48.0,37.0,67.0,48.0,4
Emil Morales,X,LAD,SS,19.4,2029.0,2024 FA,A,61.0,56.0,65.0,92.0,65.0,,67.8,56.0,5
Aiva Arquette,,MIA,SS,22.3,2028.0,2025 #7,A+,87.0,50.0,123.0,47.0,32.0,,67.8,32.0,5
Owen Caissie,X,MIA,OF,23.6,2026.0,2020 #45,MLB,62.0,91.0,77.0,42.0,,50.0,68.0,42.0,4
Emmanuel Rodriguez,X,MIN,OF,23.0,2026.0,2019 FA,AAA,,48.0,97.0,74.0,57.0,7.0,69.0,48.0,4
Gavin Kilen,,SF,SS,21.9,,2025 #13,A,,,,,69.0,,69.0,69.0,1
Jaxon Wiggins,,CHC,P,24.4,2026.0,2023 #68,AAA,72.0,67.0,83.0,58.0,,,70.0,58.0,4
Yolfran Castillo,,TEX,SS,19.0,,2024 FA,A,70.0,,,,,,70.0,70.0,1
Elmer Rodriguez-Cruz,,NYY,P,22.5,,2021 #105,AAA,53.0,60.0,87.0,82.0,,,70.5,53.0,4
Braylon Doughty,,CLE,P,20.2,,2024 #36,A,,,71.0,,,,71.0,71.0,1
Brandon Sproat,X,MIL,P,25.4,2026.0,2023 #56,MLB,37.0,76.0,73.0,100.0,75.0,90.0,72.2,37.0,5
Wehiwa Aloy,,BAL,SS,22.0,,2025 #31,A,,,,,73.0,,73.0,73.0,1
Ethan Conrad,,CHC,OF,21.6,,2025 #17,,,73.0,,,,,73.0,73.0,1
Andrew Fischer,,MIL,3B,21.7,,2025 #20,A+,,75.0,,,,,75.0,75.0,1
Jeferson Quero,X,MIL,C,23.4,,2019 FA,AAA,76.0,,75.0,,74.0,89.0,75.0,74.0,3
Noah Schultz,X,CHW,P,22.5,2026.0,2022 #26,AAA,36.0,100.0,96.0,49.0,95.0,,75.2,36.0,5
Carlos Lagrange,,NYY,P,22.7,2026.0,2022 FA,AA,73.0,61.0,,79.0,88.0,86.0,75.25,61.0,4
Arjun Nimmala,X,TOR,SS,20.3,2028.0,2023 #20,A+,48.0,87.0,76.0,77.0,89.0,84.0,75.4,48.0,5
Harry Ford,X,WAS,C,23.0,2026.0,2021 #12,MLB,74.0,,82.0,71.0,,45.0,75.66666666666667,71.0,3
Logan Henderson,X,MIL,P,24.0,,2021 #116,MLB,88.0,,64.0,,,71.0,76.0,64.0,2
Kaelen Culpepper,,MIN,SS,23.1,2027.0,2024 #21,AA,97.0,71.0,79.0,52.0,82.0,47.0,76.2,52.0,5
Kyson Witherspoon,,BOS,P,21.5,2027.0,2025 #15,,96.0,74.0,67.0,84.0,62.0,,76.6,62.0,5
Jhonny Level,,SF,SS,18.9,,2024 FA,A,77.0,69.0,84.0,,,,76.66666666666667,69.0,3
Lazaro Montes,X,SEA,OF,21.3,2027.0,2022 FA,AA,66.0,97.0,108.0,43.0,71.0,58.0,77.0,43.0,5
Gage Wood,,PHI,P,22.2,,2025 #26,A,,77.0,,,,,77.0,77.0,1
Brody Hopkins,,TB,P,24.1,2026.0,2023 #187,AA,59.0,72.0,86.0,85.0,83.0,,77.0,59.0,5
Cooper Pratt,X,MIL,SS,21.5,2026.0,2023 #182,AA,,,70.0,64.0,99.0,27.0,77.66666666666667,64.0,3
Travis Sykora,X,WAS,P,21.8,2028.0,2023 #71,AA,109.0,90.0,58.0,54.0,,8.0,77.75,54.0,4
Theo Gillen,,TB,OF,20.4,2028.0,2024 #18,A,,81.0,92.0,76.0,67.0,,79.0,67.0,4
Jack Wenninger,,NYM,P,23.9,,2023 #186,AA,79.0,,,,,,79.0,79.0,1
Parker Messick,X,CLE,P,25.3,2026.0,2022 #54,MLB,82.0,83.0,45.0,95.0,92.0,,79.4,45.0,5
Khal Stephen,,CLE,P,23.2,,2024 #59,AA,91.0,,68.0,,,,79.5,68.0,2
Jefferson Rojas,,CHC,SS,20.8,,2022 FA,AA,55.0,,107.0,,79.0,82.0,80.33333333333333,55.0,3
Jacob Melton,X,TB,OF,25.5,,2022 #64,MLB,,,81.0,,,,81.0,81.0,1
Aroon Escobar,,PHI,3B,21.1,,2022 FA,AA,,78.0,,,86.0,,82.0,78.0,2
Justin Gonzales,,BOS,OF,19.1,,2024 FA,A+,,82.0,,,,,82.0,82.0,1
Cooper Ingle,,CLE,C,24.0,2026.0,2023 #125,AAA,,65.0,,99.0,,,82.0,65.0,2
Billy Carlson,,CHW,SS,19.6,2029.0,2025 #10,,,93.0,100.0,73.0,66.0,,83.0,66.0,4
Jurrangelo Cijntje,,STL,P,22.7,2026.0,2024 #15,AA,94.0,52.0,95.0,91.0,,,83.0,52.0,4
Gavin Fien,,WAS,SS,19.0,,2025 #12,A,,59.0,117.0,,76.0,,84.0,59.0,3
Joey Oakie,,CLE,P,19.8,,2024 #84,A,,,,,84.0,,84.0,84.0,1
Dax Kilby,,NYY,SS,19.3,2028.0,2025 #39,A,69.0,40.0,113.0,94.0,106.0,62.0,84.4,40.0,5
Jonny Farmelo,,SEA,OF,21.4,2028.0,2023 #29,A+,51.0,,119.0,78.0,90.0,,84.5,51.0,4
Hagen Smith,X,CHW,P,22.5,2026.0,2024 #5,AA,65.0,101.0,127.0,72.0,58.0,,84.6,58.0,5
Ike Irish,,BAL,C,22.2,,2025 #19,A,,,,,85.0,,85.0,85.0,1
Rhett Lowder,X,CIN,P,24.0,2026.0,2023 #7,MLB,102.0,,72.0,86.0,,,86.66666666666667,72.0,3
Nate George,,BAL,OF,19.7,2028.0,2024 #489,A+,,64.0,114.0,93.0,78.0,48.0,87.25,64.0,4
Joshua Baez,,STL,OF,22.7,2026.0,2021 #54,AA,,84.0,93.0,87.0,,,88.0,84.0,3
JR Ritchie,,ATL,P,22.7,2026.0,2022 #35,AAA,68.0,88.0,89.0,90.0,106.0,,88.2,68.0,5
David Davalillo,,TEX,P,23.4,,2021 FA,AA,89.0,,,,,,89.0,89.0,1
Ben Hess,,NYY,P,23.5,,2024 #26,AA,,89.0,,,,80.0,89.0,89.0,1
Didier Fuentes,X,ATL,P,20.7,,2022 FA,MLB,90.0,,88.0,,,92.0,89.0,88.0,2
