Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Travis Jankowski","CHC","OF/DH",999,19.6842,-5.75290233516761,-2.224820868480963,-3.1140207124476147,-7.647843290665667,-8.526527087492985,-5.869185728075561,-33.1353000223304,10.952773682993152,-21.182526339337247,"Travis Jankowski","13768",608671
"Gustavo Campero","LAA","OF",747.1699829101562,6.40033,-5.7356994573550715,-2.1974674479938114,-3.285502486224321,-7.58405043060945,-8.694383901674069,-5.694132199741514,-33.191235923598235,10.952773682993152,-21.23846224060508,"Gustavo Campero","22707",672569
"Gabriel Rincones Jr.","PHI","OF",999,6.5682,-5.734494073683588,-2.198739715750699,-3.289298837762402,-7.576055030420674,-8.721467590852122,-5.709020266896242,-33.22907551536573,10.952773682993152,-21.27630183237257,"Gabriel Rincones Jr.","sa3020758",687282
"Sam Haggerty","TEX","OF/DH",999,6.45083,-5.751195476447424,-2.199627730533735,-3.2638804622762074,-7.611359050499487,-8.68818590099599,-5.718655713549274,-33.23290433430211,10.952773682993152,-21.28013065130896,"Sam Haggerty","18054",664059
"Steward Berroa","TOR","OF",999,6.64778,-5.760655748864959,-2.200823418510462,-3.225901012854803,-7.609432972561383,-8.715953060508282,-5.750652324944217,-33.2634185382441,10.952773682993152,-21.31064485525095,"Steward Berroa","22766",672642
"Tim Elko","CHW","1B",999,26.2728,-5.614106627381744,-2.2407675715070106,-3.323556574774621,-7.394017352711026,-8.69938072607571,-5.725571119884386,-32.9973999723345,10.661030898621283,-21.336369073713215,"Tim Elko","sa3020188",671284
"Garrett Cooper","ATL","1B/OF/DH",999,6.7816,-5.732577772963638,-2.2045379651031545,-3.3484059381161155,-7.585499269085784,-8.711072921233827,-5.711170091130964,-33.293263957633485,10.952773682993152,-21.340490274640327,"Garrett Cooper","15279",643265
"Jorge Barrosa","ARI","OF",999,6.5362,-5.750035727725497,-2.2055246188885413,-3.3045405588657,-7.614446990746891,-8.695932480462861,-5.727654108725322,-33.29813448541481,10.952773682993152,-21.34536080242166,"Jorge Barrosa","23968",678489
"Carlos D. Rodriguez","ATL","OF",999,6.5682,-5.756772041673954,-2.2029333962587003,-3.3137863307369986,-7.6333717037344515,-8.667168394062196,-5.7294731426230765,-33.30350500908938,10.952773682993152,-21.350731326096227,"Carlos D. Rodriguez","sa3005478",677578
"Jahmai Jones","DET","2B/3B/OF/DH",999,20.0183,-5.701645332038469,-2.204816244046214,-3.2037855713789143,-7.53055441412477,-8.552597961598904,-5.764557845894049,-32.95795736908132,10.548401074342712,-21.40955629473861,"Jahmai Jones","18872",663330
"Drew Avans","OAK","OF",999,13.1364,-5.769066487181629,-2.2293170726161105,-3.2362860111087017,-7.618573044866637,-8.683047210079538,-5.834483880378277,-33.37077370623089,10.952773682993152,-21.41800002323774,"Drew Avans","sa3006937",682183
"Tim Tawa","ARI","2B/OF",999,19.7046,-5.646782161307858,-2.197189771436289,-3.2715211509619673,-7.479247903856901,-8.652910025491874,-5.720466210371811,-32.9681172234267,10.548401074342712,-21.419716149083992,"Tim Tawa","sa3016970",694374
"Petey Halpin","CLE","OF",999,6.5682,-5.756606403471618,-2.216407870095681,-3.3183428653799707,-7.610363345874616,-8.734374163085487,-5.747056220947318,-33.383150868854685,10.952773682993152,-21.43037718586153,"Petey Halpin","sa3014461",690984
"Michael Helman","STL","3B/OF",999,52.7844,-5.507126941431903,-2.2218209784376692,-3.0170609803983335,-7.274851288541748,-8.541995244257395,-5.886580180919472,-32.449435613986516,9.999050411575308,-21.450385202411212,"Michael Helman","24605",680737
"Enmanuel Valdez","PIT","2B",749.4199829101562,13.0025,-5.6769547147087644,-2.1969571910465544,-3.3104249496978326,-7.504501841239267,-8.647837005217507,-5.670938093376004,-33.00761379528593,10.548401074342712,-21.459212720943217,"Enmanuel Valdez","21716",665839
"Darick Hall","PIT","1B/DH",747.72998046875,13.0149,-5.685100094000999,-2.2067137914437964,-3.337953501221905,-7.507232212590581,-8.679105418300594,-5.706634929689709,-33.12273994724759,10.661030898621283,-21.461709048626304,"Darick Hall","19717",669742
"Yuli Gurriel","SDP","1B/DH",999,13.5227,-5.700805200338055,-2.209499356373246,-3.301360614341603,-7.56635724267369,-8.629064453738076,-5.720182787335951,-33.12726965480062,10.661030898621283,-21.46623875617934,"Yuli Gurriel","19198",493329
"Luis Guillorme","HOU","2B",999,32.1391,-5.734410633848905,-2.2106041363439815,-3.190442694615031,-7.662029336610774,-8.30713038983745,-5.9116328280040005,-33.01625001926014,10.548401074342712,-21.467848944917424,"Luis Guillorme","16451",641645
"Buddy Kennedy","PHI","2B/3B/DH",999,20.1474,-5.70999405030273,-2.202749854239839,-3.3004068527198043,-7.558335077119351,-8.524458794928332,-5.784694978150757,-33.08063960746081,10.548401074342712,-21.5322385331181,"Buddy Kennedy","22505",671083
"Myles Straw","TOR","OF/DH",999,62.8266,-5.80067969358477,-2.346138117344663,-2.6618457145587615,-7.76212244892516,-8.421798337772014,-6.500986760362705,-33.49357107254808,10.952773682993152,-21.54079738955492,"Myles Straw","17620",664702
"Cavan Biggio","KCR","2B",999,19.4078,-5.719952419468915,-2.2141583437198387,-3.2853578493813345,-7.544280736586172,-8.538642669077822,-5.824934335851063,-33.12732635408514,10.548401074342712,-21.578925279742435,"Cavan Biggio","19252",624415
"Nick Maton","CHW","2B/3B/DH",999,13.446,-5.717339374238986,-2.2129951501314715,-3.328554918561581,-7.535941218023918,-8.622316888920498,-5.741478117426575,-33.15862566730302,10.548401074342712,-21.610224592960314,"Nick Maton","21635",665155
"Nacho Alvarez Jr.","ATL","2B/3B",734.6199951171875,13.1124,-5.737424831792643,-2.197419613714918,-3.270840938706451,-7.60662595698977,-8.585859172569275,-5.769860714950668,-33.16803122872373,10.548401074342712,-21.619630154381014,"Nacho Alvarez Jr.","31765",805373
