player_name,auction_value
Aaron Judge,60.076538079204994
Shohei Ohtani,58.98537302205827
Juan Soto,50.523608593798905
Yordan Alvarez,46.6040682232771
Fernando Tatis Jr.,42.85566535546465
Bobby Witt Jr.,42.65866749287032
Ronald Acuña Jr.,40.692506838731816
Vladimir Guerrero Jr.,40.09161835474402
Kyle Tucker,38.94654021757492
José Ramírez,37.75912926299752
Bryce Harper,37.2018630095988
Gunnar Henderson,37.000816620324784
Corbin Carroll,35.50345792567087
William Contreras,33.30624877820858
Mookie Betts,33.045206192272026
Elly De La Cruz,30.40048911074923
Julio Rodríguez,30.29468556931264
Rafael Devers,29.59549417984489
Freddie Freeman,29.157813602878704
Kyle Schwarber,28.284664797376166
Ketel Marte,28.05785970383037
Willson Contreras,27.204013134995257
Matt Olson,26.55389454766176
Pete Alonso,25.749545341443056
Brent Rooker,25.67688494799084
Jackson Chourio,25.14304234546421
Austin Riley,24.98037519647447
Corey Seager,22.503926916281156
Francisco Lindor,22.49534737202703
Mike Trout,21.830536243503897
Cal Raleigh,21.813452954148183
Adley Rutschman,21.602772859430974
Anthony Santander,21.43453905344759
Michael Harris II,21.416017827280708
Salvador Perez,21.2581707462738
Manny Machado,20.82166353389558
Jazz Chisholm Jr.,20.776674872944508
Lawrence Butler,20.695186854495827
Marcell Ozuna,20.47625756824448
Christian Walker,20.4727366237227
Jackson Merrill,19.518082392715225
Yainer Diaz,19.44398103096084
Teoscar Hernández,19.416929144325284
Vinnie Pasquantino,19.193618295574986
Matt McLain,19.07716695609142
Jarren Duran,18.765028817333697
Riley Greene,18.70092634356975
Shea Langeliers,18.29120249857809
Oneil Cruz,18.011435545298397
Trea Turner,17.440949706408475
Luis Robert Jr.,17.091556590668926
Alex Bregman,16.977437107789136
Triston Casas,16.930780127393543
Yandy Díaz,16.896520531343604
Will Smith,16.8734140684394
James Wood,16.8611368492826
Jose Altuve,16.68083661090887
Mark Vientos,16.30945998274236
Bryan Reynolds,16.185592823226827
Wyatt Langford,16.115399749561654
Christian Yelich,15.733504772901997
Josh Naylor,15.603423039779416
Junior Caminero,15.29633982363648
Ian Happ,14.62098152414728
Marcus Semien,13.778887422366193
Cody Bellinger,13.49978893869148
CJ Abrams,13.125835648391837
Randy Arozarena,12.932025973866509
Steven Kwan,12.914293434386328
Paul Goldschmidt,12.857417918628371
Royce Lewis,12.611832584313856
Ozzie Albies,12.309997945003548
Seiya Suzuki,12.29455521745471
Isaac Paredes,12.2019602664006
Jorge Soler,12.129028511940444
Austin Wells,11.939954791886665
Matt Chapman,11.797369276227618
Adolis García,11.754546831926548
Gabriel Moreno,11.556880468968757
Brenton Doyle,11.449732189949108
Brandon Lowe,11.416299308231403
Taylor Ward,11.159268495194638
Lars Nootbaar,10.83297228791678
J.T. Realmuto,10.37811988970521
Logan O'Hoppe,10.288715892103577
Willy Adames,10.134678973338126
Jurickson Profar,9.491209635075457
Jung Hoo Lee,9.433098697072682
JJ Bleday,9.384755552459394
Byron Buxton,9.264838681523678
Bo Bichette,9.257958614194116
Kerry Carpenter,9.174848307034615
Jake Burger,9.000118390991522
Jordan Westburg,8.94230594808848
Tyler Stephenson,8.797810867600447
Josh Lowe,8.667609170853199
Jesús Sánchez,8.420540740118991
Ryan Jeffers,8.402642729965113
Francisco Alvarez,8.296766013458615
Zach Neto,8.201907956700106
TJ Friedl,8.111011997973911
George Springer,7.9407180918721
Joc Pederson,7.437853116405289
Alejandro Kirk,7.122267860342185
Cedric Mullins,7.079858094750965
Brandon Nimmo,6.980194223204644
Jasson Domínguez,6.599485584239523
Jonathan India,6.360606280666982
Carlos Correa,6.340986642874528
Nolan Arenado,6.273082694328376
Keibert Ruiz,6.261821049350376
Lane Thomas,6.22105854250007
Andrew Vaughn,6.211559438461465
Max Muncy,6.205873308805378
Iván Herrera,6.195645413547444
Bo Naylor,5.998034295015817
Spencer Steer,5.8829772401478015
Nick Castellanos,5.832714770509648
