player_name,auction_value
Shohei Ohtani,84.8744727141151
Aaron Judge,68.1124527353068
Juan Soto,52.924067406429096
Yordan Alvarez,49.60915759823803
Ronald Acuña Jr.,44.97453832533674
Bobby Witt Jr.,43.87727894251386
Elly De La Cruz,41.10619051302515
José Ramírez,38.8647032332153
Gunnar Henderson,38.813393149468354
Vladimir Guerrero Jr.,35.96665452013278
Brent Rooker,35.36108211388744
Corbin Carroll,32.8662749768609
Kyle Schwarber,32.261721217680524
Mookie Betts,32.01641562984081
Julio Rodríguez,31.96059152547631
Freddie Freeman,31.487683870988043
Rafael Devers,30.13740728433176
Francisco Lindor,30.023737582820143
Fernando Tatis Jr.,29.770219915916808
Bryce Harper,29.354626873696517
Matt Olson,28.852731560669348
Pete Alonso,27.419401506972417
Anthony Santander,26.64654548346709
William Contreras,25.58306136499182
Wyatt Langford,25.235853235095195
Austin Riley,24.929367362475343
Teoscar Hernández,23.15972443181124
Cal Raleigh,22.960394719104425
Corey Seager,22.91161573144732
Will Smith,20.57028838076612
Ketel Marte,20.293352580522733
Jazz Chisholm Jr.,20.165592326920983
Trea Turner,19.95581292461419
Kyle Tucker,19.60089311839616
Jarren Duran,19.213990266099824
James Wood,19.07679028860915
Shea Langeliers,18.720488217876927
Manny Machado,18.61042743830884
Oneil Cruz,18.05250403745638
Jackson Chourio,17.766517443466004
Marcell Ozuna,17.35585428575696
Michael Harris II,17.30112521170762
Salvador Perez,17.239515367263078
Ian Happ,16.468032045994704
Spencer Steer,16.411123322176685
Jackson Merrill,16.367565612810253
Yainer Diaz,16.201279686548375
Adley Rutschman,16.19527721777404
Adolis García,15.887334120697544
Marcus Semien,15.373122991670144
Seiya Suzuki,15.338518333246302
Isaac Paredes,14.441096871310735
Randy Arozarena,14.363361978771753
Bryan Reynolds,13.67826757894309
Zach Neto,13.526752332699107
Josh Naylor,13.45006387256775
Logan O'Hoppe,12.917104610231863
Jake Burger,12.885408006710236
Riley Greene,12.554797556132796
Hunter Goodman,12.52015617340106
Matt Wallner,12.359212421331844
Matt McLain,12.341757839642923
Willy Adames,12.33706776629011
Spencer Torkelson,12.238578789660997
Jose Altuve,11.899841799745476
Cody Bellinger,11.787537881573266
CJ Abrams,11.688253545726926
Paul Goldschmidt,11.599885398791749
Ezequiel Tovar,11.23308231544878
Brandon Nimmo,11.222728877466867
Alex Bregman,11.134073692304815
Christian Walker,10.738851787855856
Matt Chapman,10.716594102695964
Colton Cowser,10.606329668176262
Connor Norby,10.407227786303547
Tyler Stephenson,10.219195236340028
Tyler O'Neill,10.1194409440141
Mark Vientos,10.07556082259048
Agustin Ramirez,9.951594674684245
Dalton Rushing,9.614351344476496
Francisco Alvarez,9.311866853882018
Christian Yelich,9.055867024193407
Christopher Morel,8.835564880457202
Kristian Campbell,8.657626428755515
Andy Pages,8.481751682890987
Lawrence Butler,8.197585137692666
Vinnie Pasquantino,8.161097830703282
J.T. Realmuto,8.048157043503434
Nolan Gorman,7.79559994787237
Michael Busch,7.761745275032864
Brenton Doyle,7.59595796776888
Pete Crow-Armstrong,7.584709188714143
Alec Bohm,7.508504382959882
Jackson Holliday,7.346419257096576
Willson Contreras,7.300669134688296
Heliot Ramos,7.045381067331096
Joc Pederson,7.037428485907012
Michael Toglia,6.7100502738834145
Lane Thomas,6.6890682821491625
Nathaniel Lowe,6.564285105664432
Jack Suwinski,6.304442598321259
Anthony Volpe,5.996465860511667
Samuel Basallo,5.9693393541349655
Taylor Ward,5.899336815828599
Ozzie Albies,5.661589354957796
Sean Murphy,5.621495700517758
Ryan Jeffers,5.511289801421443
Jorge Soler,5.09477881786397
Bo Naylor,4.816915591691941
Christian Encarnacion-Strand,4.717860598788342
Nick Castellanos,4.637951061241775
Luis Robert Jr.,4.55773218793243
Ryan McMahon,4.4762968685869335
Andrés Giménez,4.4098965070608624
Carlos Correa,4.322311094332593
Eugenio Suárez,4.144495187312549
Steven Kwan,4.134254191439828
Ben Rice,4.105498124545811
Max Muncy,3.731871935971325
Ceddanne Rafaela,3.64898643434229
Brandon Lowe,3.5821382201061023
Josh Lowe,3.5320193900429224
Adrian Del Castillo,3.4416981955469157
James Outman,3.3035249860277136
Dansby Swanson,3.283150498397314
Jordan Westburg,3.2522940653167214
