Rank,Name,Pos,Team,Level,ETA,Age,Height / Weight,Bats,Throws
90,JR Ritchie,RHP,Atlanta Braves,AAA,2026,22,6' 2" / 185 lbs,R,R
91,Jurrangelo Cijntje,RHP,St. Louis Cardinals,AA,2026,22,5' 11" / 200 lbs,S,S
92,Emil Morales,SS,Los Angeles Dodgers,A,2029,19,6' 3" / 191 lbs,R,R
93,Nate George,OF,Baltimore Orioles,A+,2028,19,6' 0" / 200 lbs,R,R
94,Dax Kilby,SS,New York Yankees,A,2028,19,6' 2" / 190 lbs,L,R
95,Parker Messick,LHP,Cleveland Guardians,MLB,2026,25,6' 0" / 225 lbs,L,L
96,Hunter Barco,LHP,Pittsburgh Pirates,MLB,2026,25,6' 4" / 235 lbs,L,L
97,A.J. Ewing,OF/2B,New York Mets,AA,2027,21,5' 11" / 160 lbs,L,R
98,Leonardo Bernal,C,St. Louis Cardinals,MLB,2027,21,6' 0" / 245 lbs,S,R
99,Cooper Ingle,C,Cleveland Guardians,AAA,2026,23,5' 8" / 190 lbs,L,R
100,Brandon Sproat,RHP,Milwaukee Brewers,MLB,2026,25,6' 3" / 215 lbs,R,R
