player_name,keeper_cost,team,position,steamer,thebatx,oopsy,atc
Chris Sale,38,ATL,SP,34.35473772066275,28.45915819159697,31.2500556134044,31.320304124292687
Ian Happ,29,CHC,OF,21.10455817902872,20.644734350788664,18.87409928789103,19.917266728093967
Kodai Senga,25,NYM,SP,4.24105387318402,1.8565016212756484,1.2324619075340435,6.054040689077782
Jonathan India,19,KCR,2B/3B/OF/DH,7.2136583766010105,11.804878604539121,7.732327746233883,7.986623878934937
George Springer,18,TOR,OF/DH,27.661568503314744,27.68580230590442,21.280115143185515,24.72900550725264
Michael Busch,17,CHC,1B,19.90604995570028,19.271142158910408,17.881231842656554,23.342901325208267
Drew Rasmussen,12,TBR,SP,11.160570646344205,3.0673799066283296,11.156105159926469,12.79056562476902
Chase Burns,10,CIN,SP,14.114986487513477,21.5335355880123,23.00431999083572,17.320255296230467
Landen Roupp,10,SFG,SP,-1.4936638777781543,1.276140671740169,-1.3250749680367893,-0.4572507788632185
Daniel Espino,10,,,,,,
Forrest Whitley,10,,,,,,
Roman Anthony,10,BOS,OF,18.85617561418214,24.182593580522255,23.032012714498272,23.537885921732865
Brandon Sproat,10,MIL,SP,-3.304352917390008,0.8925156825112065,-0.35630702976364637,-2.3467860472222815
Ricky Tiedemann,10,,,,,,
Kristian Campbell,10,BOS,2B,-7.631288888670991,-7.4370488179518155,-10.5971575706871,-7.777931364640409
Jordan Hicks,8,CHW,RP,-0.40350848045857624,,0.20839330911160103,
Cooper Pratt,8,,,,,,
Bo Naylor,8,CLE,C,10.991559177875873,10.280669232388544,10.422324663740774,10.096697860796374
Hayden Wesneski,8,,,,,,
Thayron Liranzo,8,,,,,,
Alfredo Duno,8,,,,,,
Miguel Vargas,8,CHW,1B/3B,9.412665845914221,17.086207963366643,11.80360852877337,12.97966417618021
Quinn Mathews,8,STL,SP,-4.024474305363643,,-3.8378479811215316,-4.779942902577205
Nolan McLean,8,NYM,SP,6.359858524438977,10.908494255077567,7.540821093671062,10.584256819271634
Chase Dollander,5,COL,SP,-21.25607712203988,-20.611156699534206,-13.546324245294478,-18.827618650750637
Edward Cabrera,5,CHC,SP,7.2869167357014994,12.54661844314553,11.320779557247594,8.835228251988852
Carlos Narvaez,5,BOS,C,6.410750056404724,7.29829068618127,5.654192084924881,5.525702814296828
Joey Cantillo,5,CLE,SP,4.283044723181041,1.993537523870553,4.74809206957955,5.45560984661443
Ben Brown,5,CHC,SP/RP,6.019998842886305,0.8839902138232046,2.9622061939950464,3.9584196417602455
Marcell Ozuna,5,PIT,DH,11.392800034470552,11.908646089366846,8.572047220578696,13.360641281815477
KeBryan Hayes,5,CIN,3B,1.0282010708458582,-0.284377114634365,0.11777866270043369,-0.07274255626753612
Jeff McNeil,5,ATH,2B/OF,8.73112961667081,7.587838834477541,5.6535733411096585,8.233518875853528
Casey Schmitt,5,SFG,2B/3B,-5.276567809223774,-0.8860445482324713,-8.356176665623922,-2.1969367739175407
Brett Baty,5,NYM,2B/3B,5.027716606851648,4.338005858980859,5.683465616643809,6.721989884603026
Eduardo Rodriguez,3,ARI,SP,-3.1600374168233705,-6.802904938302475,-9.256034283815264,-3.8477039549719034
Jorge Soler,3,LAA,OF/DH,8.864546830381837,11.719856488526965,9.454259454222978,9.43217914446138
Matt Strahm,1,KCR,RP,5.6861566049374375,4.317981517018808,2.3938559597344695,7.745675268291924
Osvaldo Bido,1,,,,,,
Ryan OHearn,1,PIT,1B/OF/DH,10.627773023742416,10.650554391653493,9.613007513294189,10.609044369463382
Aaron Civale,1,ATH,SP,-8.106568324937466,-9.445579699781192,-9.759959073281948,-5.4679975734606305
