Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Alex Verdugo",,"OF",512.219970703125,347.559,-7.682956485392904,-6.682574624481653,-2.6614424249156245,-6.318490102036998,-0.852975357781998,-2.376969789393328,-26.5754087840025,12.277191499022852,-13.298217284979652,"Alex Verdugo","17027",657077
"Starling Marte","NYM","OF",450.75,277.071,-8.914346308079795,-7.795593842628395,-0.44938650837572774,-6.865065091794919,-0.7251926212753326,-1.8409499397603115,-26.59053431191448,12.277191499022852,-13.31334281289163,"Starling Marte","9241",516782
"Drew Millas","WSN","C/DH",748.9099731445312,41.7892,-14.129634367693223,-12.95382670655091,-3.0978195809323963,-9.213437240866373,-0.17549540687244713,-0.43091017925119696,-40.00112348216654,25.60241506929359,-13.398708412872953,"Drew Millas","25643",686452
"Chadwick Tromp","ATL","C",745.469970703125,47.0233,-13.98117712481573,-12.829637391445033,-3.2683344238558103,-9.08343827374789,-0.45146807624077484,-0.5474929425420538,-40.16154823264729,25.60241506929359,-13.559133163353701,"Chadwick Tromp","16953",644433
"Sam Huff","SFG","C",742.72998046875,42.3406,-14.073800944108942,-12.97142642833467,-3.2938386552218275,-9.047445791956747,-0.5226349821305186,-0.470777028683104,-40.3799238304358,25.60241506929359,-13.777508761142215,"Sam Huff","22209",669087
"Austin Hedges","CLE","C",750.72998046875,174.31,-11.936126401922303,-10.9662036803669,-2.731142548420668,-8.087702538231987,-3.1503524252164263,-3.5540896679369807,-40.425617262095265,25.60241506929359,-13.823202192801674,"Austin Hedges","12976",595978
"Edouard Julien","MIN","2B",581.1599731445312,311.04,-9.092875080397647,-7.00918827040142,-2.1186401550757203,-6.011850976487076,0.09098908982746602,-2.9673280724329767,-27.108893464967377,12.255253069645287,-13.853640395322085,"Edouard Julien","27534",666397
"Jeferson Quero","MIL","C",739.6699829101562,24.4337,-14.423492998662871,-13.258193077856527,-3.2589456541877557,-9.268001010928272,-0.20247910535750754,-0.21936540961691206,-40.63047725660984,25.60241506929359,-14.028062187316255,"Jeferson Quero","sa3015407",691620
"Leody Taveras","TEX","OF",453.9599914550781,262.015,-9.171818960651532,-8.209018042589042,-0.4690800060983686,-6.609709935195928,-1.3073919954178097,-1.6155706795352525,-27.38258961948793,12.277191499022852,-14.10539812046508,"Leody Taveras","18900",665750
"Logan Driscoll","TBR","C",999,29.9813,-14.359564908329983,-13.18309226447358,-3.2819882068691424,-9.286572299199028,-0.2780725918992842,-0.345699861639706,-40.73499013241073,25.60241506929359,-14.132575063117137,"Logan Driscoll","25475",686482
"Ryan Bliss","SEA","2B",583.1599731445312,288.201,-9.238762521936621,-7.93909431075132,1.885725310513419,-6.6125637950347755,-2.3783416525133076,-3.143725641187494,-27.426762610910096,12.255253069645287,-14.171509541264811,"Ryan Bliss","29547",669208
"Josh Smith","TEX","3B/SS",417.0400085449219,385.52,-7.0526815145908595,-5.732564335121084,-1.5517363356453209,-5.779156291623935,-0.11431575168005179,-3.1577395166814477,-23.388193745342697,7.947465494409344,-14.440728250933352,"Josh Smith","26396",669701
"J.D. Martinez",,"DH",663.2899780273438,367.674,-5.943137966927292,-6.327912197735098,-3.165601883509176,-4.3067437553648,-1.9008550605966614,-1.7967111645093596,-23.44096202864239,7.947465494409344,-14.493496534233044,"J.D. Martinez","6184",502110
"Randal Grichuk","ARI","OF/DH",559.760009765625,258.477,-8.411522135666365,-8.355004398078528,-2.9763094927189515,-5.973558355972002,-1.3885272566807287,-0.667924901132176,-27.77284654024876,12.277191499022852,-14.495655041225906,"Randal Grichuk","10243",545341
"Hunter Feduccia","LAD","C",999,18.2165,-14.615135564383271,-13.386885894890451,-3.307635559932068,-9.420319585055928,-0.12771465267701518,-0.2675168823482856,-41.12520813928702,25.60241506929359,-14.522793069993428,"Hunter Feduccia","23372",676439
"Jair Camargo","MIN","C/DH",999,18.183,-14.580186589443088,-13.408628926922932,-3.2980178028000555,-9.341050891161863,-0.28652511318895646,-0.23201957015887376,-41.14642889367577,25.60241506929359,-14.544013824382178,"Jair Camargo","21730",665856
