player_name,auction_value
Jonathan Aranda,-2.450414206166923
Garrett Mitchell,-2.503788639633106
Jackson Holliday,-2.5088590120278043
Patrick Bailey,-2.5250469550354833
Josh Jung,-2.629887369818625
Maikel Garcia,-2.7680747124799656
Jake Rogers,-2.861183695713425
Ha-Seong Kim,-2.929706993367604
Travis d'Arnaud,-2.951543448021388
Joey Ortiz,-2.955389315337713
J.P. Crawford,-3.1885927560502623
Nolan Gorman,-3.281603740975907
Agustin Ramirez,-3.8293066116401135
LaMonte Wade Jr.,-3.8662361101736495
Carson Kelly,-3.8859346521894342
Luis Arraez,-3.942981379349878
Nolan Arenado,-4.1493982465008905
Jake Meyers,-4.156196318416248
Colt Keith,-4.185130361005607
Andy Pages,-4.190578925847982
Andrew McCutchen,-4.205875914918588
Kyle Higashioka,-4.230565848098203
Brice Turang,-4.297169727642884
Jose Siri,-4.401677560568118
Matt Vierling,-4.403852180649137
Nico Hoerner,-4.404662222971706
Nick Gonzales,-4.52306751645242
Kyle Manzardo,-4.597288574366214
Mike Yastrzemski,-4.702140882214066
J.D. Martinez,-4.73910711753227
Chas McCormick,-4.744975450673624
Jacob Stallings,-4.768602525284219
Alex Verdugo,-4.803397187791447
Andrew Benintendi,-4.8684877335976875
Miguel Amaya,-4.912848068521782
Gavin Lux,-5.005093809477172
Jonny DeLuca,-5.028387869809719
Luis Campusano,-5.12560474969719
Ke'Bryan Hayes,-5.17457261005655
Leody Taveras,-5.446588502078247
Michael Massey,-5.546437233532038
Nolan Schanuel,-5.6341970452569035
Carlos Santana,-5.9906846039345885
Edgar Quero,-6.096585116699678
Seth Brown,-6.113154702670081
David Fry,-6.135538545669704
Yoán Moncada,-6.301563002199089
Victor Caratini,-6.302703138305808
Heston Kjerstad,-6.314834222091861
Elias Díaz,-6.31700187868798
Miguel Vargas,-6.362590742616841
Jorge Polanco,-6.4941762308450315
Masataka Yoshida,-6.585679554344557
Jesse Winker,-6.770198116724149
Kris Bryant,-6.778480267099312
Thairo Estrada,-6.814036671038445
Josh Smith,-6.858238944131559
Freddy Fermin,-6.9725732716626645
Pavin Smith,-7.100552221003348
Roman Anthony,-7.136792763915761
Nick Fortes,-7.223824972085172
Otto Lopez,-7.252559463371471
Jordan Beck,-7.302472730981444
Dillon Dingler,-7.4109175240095695
Kyle Isbel,-7.5156183068412
Isiah Kiner-Falefa,-7.577550551680545
Ty France,-7.60200151681607
Dalton Rushing,-7.751121867401668
Jake Fraley,-7.7567426404540285
Ceddanne Rafaela,-7.829384286805709
Randal Grichuk,-7.957607407441067
Geraldo Perdomo,-8.09763173995008
James McCann,-8.185529384038228
Tom Murphy,-8.315554909638104
Jose Trevino,-8.409042858782264
Adrian Del Castillo,-8.54883694532864
Drew Romo,-8.647570466712398
Yasmani Grandal,-8.848256040410648
Kyle Teel,-8.966598890793607
Jhonkensy Noel,-9.015790511189651
Spencer Horwitz,-9.04795319875856
Mickey Moniak,-9.418275219180122
Christian Vázquez,-9.428485131096764
Mike Tauchman,-9.440079133321722
Pedro Pagés,-9.599853655228058
Kristian Campbell,-9.923460687086184
Jonah Bride,-9.977302243021484
Hyeseong Kim,-10.107458193770643
Jacob Wilson,-10.170706449656375
Carlos Narvaez,-10.171012289502247
Orlando Arcia,-10.253560753207047
Korey Lee,-10.263477808861644
Wenceel Pérez,-10.312803172770089
Hunter Renfroe,-10.39908137590715
José Caballero,-10.612635838353317
