player_name,zips_auction_value,steamer-experimental_auction_value,batx_auction_value,steamer_auction_value
Aaron Judge,68.1124527353068,60.076538079204994,62.92711902338922,58.6944738211614
Shohei Ohtani,5.919564929712718,58.98537302205827,14.999599488974528,55.791519820471954
Shohei Ohtani,84.8744727141151,58.98537302205827,14.999599488974528,55.791519820471954
Shohei Ohtani,5.919564929712718,10.963347260891124,14.999599488974528,55.791519820471954
Shohei Ohtani,84.8744727141151,10.963347260891124,62.02043665160867,55.791519820471954
Shohei Ohtani,5.919564929712718,10.963347260891124,62.02043665160867,55.791519820471954
Shohei Ohtani,84.8744727141151,10.963347260891124,14.999599488974528,55.791519820471954
Shohei Ohtani,84.8744727141151,58.98537302205827,62.02043665160867,55.791519820471954
Shohei Ohtani,5.919564929712718,58.98537302205827,62.02043665160867,55.791519820471954
Juan Soto,52.924067406429096,50.523608593798905,48.17001116155504,49.76433723877516
Yordan Alvarez,49.60915759823803,46.6040682232771,45.593266941930224,45.83934187265803
Paul Skenes,24.28340197218308,46.74070165254655,37.7320539631576,42.421929482157886
Fernando Tatis Jr.,29.770219915916808,42.85566535546465,38.594723647321686,42.40474783584658
Jacob deGrom,11.387421221292636,44.0971683597128,24.261551038068045,42.04907395487631
Bobby Witt Jr.,43.87727894251386,42.65866749287032,51.41186571988748,40.32601592878564
Ronald Acuña Jr.,44.97453832533674,40.692506838731816,39.08189284080953,39.90668344338996
Tarik Skubal,47.78636833959265,43.97310675716761,41.41173567282258,39.7491713035268
Vladimir Guerrero Jr.,35.96665452013278,40.09161835474402,43.64651358101823,39.390172856260186
Kyle Tucker,19.60089311839616,38.94654021757492,34.653416666979886,38.691263993236305
José Ramírez,38.8647032332153,37.75912926299752,33.429652497373596,37.5299407494784
Chris Sale,29.730595202191203,41.353261450102,25.251707825745115,37.50330874577045
Bryce Harper,29.354626873696517,37.2018630095988,29.652172866908824,36.64452376688565
Corbin Carroll,32.8662749768609,35.50345792567087,29.701748312796468,35.360921795370366
William Contreras,25.58306136499182,33.30624877820858,31.803261078098295,35.33746115488071
Garrett Crochet,28.64964985355947,37.73453790267556,28.941658225284968,35.139946172111266
Gunnar Henderson,38.813393149468354,37.000816620324784,37.932992499014325,35.089130556617214
Mookie Betts,32.01641562984081,33.045206192272026,34.60977480448371,31.427175365421576
Julio Rodríguez,31.96059152547631,30.29468556931264,32.026125627887524,30.48575716077127
Rafael Devers,30.13740728433176,29.59549417984489,29.562723657568156,29.984912828075696
Willson Contreras,7.300669134688296,27.204013134995257,23.933150510036608,29.52337025467084
Freddie Freeman,31.487683870988043,29.157813602878704,26.40739726367499,29.07075150252353
Ketel Marte,20.293352580522733,28.05785970383037,26.892155079276513,28.845860092140757
Elly De La Cruz,41.10619051302515,30.40048911074923,34.29019894285319,28.679291686716436
Kyle Schwarber,32.261721217680524,28.284664797376166,25.33541269518732,26.9874117533366
Matt Olson,28.852731560669348,26.55389454766176,28.268321534832957,26.695804256290582
Pete Alonso,27.419401506972417,25.749545341443056,28.277419314405755,26.00072451732846
Mason Miller,26.473187710284517,27.52013197646123,24.25450299321949,25.779292924232113
Austin Riley,24.929367362475343,24.98037519647447,31.42094289318853,25.672911536110536
Jackson Chourio,17.766517443466004,25.14304234546421,20.62208173435307,25.627626135078213
Tyler Glasnow,22.57577688528485,25.25628580801698,22.238232240528756,24.841149036080363
Zack Wheeler,26.650216742020593,27.90807690645112,24.28441269422946,24.732377267535004
Brent Rooker,35.36108211388744,25.67688494799084,26.34044903298813,24.463039043397504
Cal Raleigh,22.960394719104425,21.813452954148183,20.77581397594478,24.379211593059143
Adley Rutschman,16.19527721777404,21.602772859430974,20.44314022655666,24.289440185116373
Salvador Perez,17.239515367263078,21.2581707462738,21.09806812728416,23.99997841013727
Roki Sasaki,24.196068124206533,23.65426334497183,0.4665729290533955,23.667799979509233
Logan Gilbert,25.664018466256596,25.48720318664943,25.699938877280275,22.463027991944276
Spencer Strider,28.34074530509655,21.130856390227727,19.664415844554632,22.33506763767907
Anthony Santander,26.64654548346709,21.43453905344759,20.933300828567777,22.29553667474602
Edwin Díaz,27.854549587026987,23.443497093516974,23.35174568661751,22.094566624016977
Michael Harris II,17.30112521170762,21.416017827280708,19.55205246853544,21.941951691211788
Manny Machado,18.61042743830884,20.82166353389558,20.80543084072672,21.66831054959955
Mike Trout,1.4246993130459225,21.830536243503897,22.511096862232964,21.637104550363073
Yainer Diaz,16.201279686548375,19.44398103096084,15.761677411496732,21.5576173140516
Francisco Lindor,30.023737582820143,22.49534737202703,29.281845350361444,21.5136314954797
Lawrence Butler,8.197585137692666,20.695186854495827,14.97678557757266,21.453426260055313
Jazz Chisholm Jr.,20.165592326920983,20.776674872944508,22.07785466155538,21.39651289061738
Corey Seager,22.91161573144732,22.503926916281156,30.765775999456142,20.882581467555944
Christian Walker,10.738851787855856,20.4727366237227,17.370756044096893,20.880528148251766
Teoscar Hernández,23.15972443181124,19.416929144325284,23.66755595864072,20.353658316742713
Jackson Merrill,16.367565612810253,19.518082392715225,21.082619797525854,20.326673656862265
Dylan Cease,22.06316752138257,23.11017407104604,19.73503748928904,20.26018352988879
Félix Bautista,24.170183886123706,21.403417505842903,19.154067953009704,20.028620080198305
Blake Snell,18.429589117153103,21.533363847280125,16.930016936066338,19.93860084236503
Vinnie Pasquantino,8.161097830703282,19.193618295574986,11.188022644537732,19.65415246198809
Riley Greene,12.554797556132796,18.70092634356975,16.48727378347738,19.637666791494446
Jarren Duran,19.213990266099824,18.765028817333697,26.999746179537187,19.617193935272287
Marcell Ozuna,17.35585428575696,20.47625756824448,21.128722509206114,19.593174789737738
Shea Langeliers,18.720488217876927,18.29120249857809,19.837227580854567,19.527397142066928
Josh Hader,29.13785624770474,20.771074447638885,21.744643917862575,19.47185519874895
Matt McLain,12.341757839642923,19.07716695609142,16.567566798805924,18.113234120257168
Alex Bregman,11.134073692304815,16.977437107789136,15.176482606040944,18.07520435712991
Jose Altuve,11.899841799745476,16.68083661090887,8.306176579045427,18.072748565318133
Ryan Helsley,25.400608084290266,19.27688148423184,15.639123730763997,18.067125745846603
Luis Robert Jr.,4.55773218793243,17.091556590668926,14.9863396641059,18.059552705998556
Will Smith,-11.803932686980986,16.8734140684394,25.265123147317432,18.034868579907027
Will Smith,20.57028838076612,16.8734140684394,25.265123147317432,18.034868579907027
Sonny Gray,16.330093147071743,20.144451542895276,10.590725132284136,17.754120156752816
James Wood,19.07679028860915,16.8611368492826,13.422749095901503,17.725765623696706
Yandy Díaz,2.004451581771602,16.896520531343604,15.775920613825717,17.529383676072708
Mark Vientos,10.07556082259048,16.30945998274236,7.01939400093606,17.462375017801616
Triston Casas,-0.1144009418856877,16.930780127393543,10.687753174556198,17.343689516498344
Bryan Reynolds,13.67826757894309,16.185592823226827,16.352485542273648,17.299606769167973
Oneil Cruz,18.05250403745638,18.011435545298397,26.714663072148692,17.104330559319674
Wyatt Langford,25.235853235095195,16.115399749561654,22.322781195549013,17.048210862040385
Andrés Muñoz,25.695498564344593,18.16250881827721,18.81362214667277,16.99918022885676
Trea Turner,19.95581292461419,17.440949706408475,20.570306449602995,16.653265700365377
Christian Yelich,9.055867024193407,15.733504772901997,14.00601186255857,16.644600187226203
Junior Caminero,-0.1926848785843886,15.29633982363648,8.515583402498741,16.399742421071196
Josh Naylor,13.45006387256775,15.603423039779416,12.728106776002164,16.22729845529042
Jhoan Duran,27.137635033476695,17.105119783563907,13.015191521498018,16.009140438850718
Ryan Walker,22.217415652563,16.949238735428835,13.54575525083526,15.884837476566108
Ian Happ,16.468032045994704,14.62098152414728,15.939808789789678,15.808359505882713
Marcus Semien,15.373122991670144,13.778887422366193,10.6549360682388,15.407843746340893
Shane McClanahan,15.681867674914736,15.399367018365146,8.391151016254602,14.933894905793078
Joe Ryan,12.721553969693574,15.409479474908755,19.8415486262853,14.80273253207008
Francisco Alvarez,9.311866853882018,8.296766013458615,8.691283235405269,14.738002990884182
Cody Bellinger,11.787537881573266,13.49978893869148,8.167514191738785,14.666482411122804
Pablo López,10.804106546407125,16.909993897240476,12.187301738547276,14.417342116663454
Emmanuel Clase,31.03689802387788,15.106421846941128,20.853537324534276,14.163542879436797
Steven Kwan,4.134254191439828,12.914293434386328,-1.297603074107175,14.153059425736084
Randy Arozarena,14.363361978771753,12.932025973866509,18.92995888846202,14.125275779235054
Cole Ragans,9.845824884275556,16.090443084807674,19.147839659108,14.079778144719407
Ozzie Albies,5.661589354957796,12.309997945003548,12.21991184079292,13.90395458395432
George Kirby,21.5492928463882,14.379050267981508,22.208742632672667,13.879700828563651
Devin Williams,21.078676598076992,14.764207626683104,17.398866299300686,13.82899345012071
Paul Goldschmidt,11.599885398791749,12.857417918628371,10.5011424343196,13.684206169255972
Jeff Hoffman,21.905461982308633,14.550778850719675,9.41174590531598,13.63337206542823
Shota Imanaga,11.8954365824873,15.271175378339311,10.332824024435071,13.488010633616843
Isaac Paredes,14.441096871310735,12.2019602664006,2.7597310396875434,13.48379219090061
Austin Wells,2.962279742668639,11.939954791886665,10.190378032882256,13.431749452384866
Royce Lewis,-4.915365818917405,12.611832584313856,5.2463208905989696,13.20097616773165
Matt Chapman,10.716594102695964,11.797369276227618,22.394429026042257,13.109443126434126
Jorge Soler,5.09477881786397,12.129028511940444,17.749389987460948,13.066210486312745
Adolis García,15.887334120697544,11.754546831926548,12.5990500929712,13.007836437274385
Raisel Iglesias,21.36711231765781,13.81552461531797,13.37317437117438,12.967815711864308
Seiya Suzuki,15.338518333246302,12.29455521745471,18.362163426727797,12.945885901735906
Shohei Ohtani,84.8744727141151,58.98537302205827,14.999599488974528,12.728592403284278
Shohei Ohtani,84.8744727141151,10.963347260891124,14.999599488974528,12.728592403284278
Shohei Ohtani,5.919564929712718,10.963347260891124,14.999599488974528,12.728592403284278
Shohei Ohtani,5.919564929712718,58.98537302205827,62.02043665160867,12.728592403284278
Shohei Ohtani,5.919564929712718,10.963347260891124,62.02043665160867,12.728592403284278
Shohei Ohtani,84.8744727141151,58.98537302205827,62.02043665160867,12.728592403284278
Shohei Ohtani,5.919564929712718,58.98537302205827,14.999599488974528,12.728592403284278
Shohei Ohtani,84.8744727141151,10.963347260891124,62.02043665160867,12.728592403284278
Trevor Megill,8.548935899169376,13.527848372908233,5.517537787803083,12.673304185723056
Brenton Doyle,7.59595796776888,11.449732189949108,15.775980234534236,12.65625786737978
Freddy Peralta,10.79270462286638,14.143826041400049,17.109910503265098,12.5741674711455
Taylor Ward,5.899336815828599,11.159268495194638,18.825285849738812,12.538170000740728
Gabriel Moreno,-0.9679129630549108,11.556880468968757,10.724472852512235,12.531536397796462
Tanner Scott,21.486251200603263,13.378507908928256,7.1448497188917415,12.525400101506044
CJ Abrams,11.688253545726926,13.125835648391837,13.308450712876288,12.37441524377564
Brandon Lowe,3.5821382201061023,11.416299308231403,6.093901910643956,12.263163007506872
Yoshinobu Yamamoto,28.190234600060737,12.03469389761599,15.017557374925708,11.70068782867486
J.T. Realmuto,8.048157043503434,10.37811988970521,16.674533949469005,11.616206834260232
Lars Nootbaar,0.7115974119446347,10.83297228791678,5.3583612334646,11.284196784842855
Jurickson Profar,1.6024159552669737,9.491209635075457,6.996507342299178,10.987439466771567
Logan O'Hoppe,12.917104610231863,10.288715892103577,17.791590277944504,10.965280572957369
JJ Bleday,1.6589735032394073,9.384755552459394,8.509664181236204,10.878817478077185
Yusei Kikuchi,-5.567619847482125,12.199951786178126,1.9771500073334176,10.87316449923455
Jung Hoo Lee,-14.67726932439074,9.433098697072682,5.253114824536029,10.78202100751733
Luis Castillo,15.49881774408774,12.397839558051212,8.419553958566684,10.530490200975944
Jake Burger,12.885408006710236,9.000118390991522,12.82710354799891,10.104349794525517
