player_name,steamer,thebatx,zips,zipsdc,oopsy
Shohei Ohtani,61.96376856321555,60.59815278515269,87.26819383620172,61.23519543120198,59.68860086196354
Shohei Ohtani,61.96376856321555,60.59815278515269,87.26819383620172,61.23519543120198,20.736361024145133
Shohei Ohtani,61.96376856321555,60.59815278515269,87.26819383620172,11.258528636652228,59.68860086196354
Shohei Ohtani,61.96376856321555,60.59815278515269,87.26819383620172,11.258528636652228,20.736361024145133
Shohei Ohtani,61.96376856321555,60.59815278515269,10.881747951839328,61.23519543120198,59.68860086196354
Shohei Ohtani,61.96376856321555,60.59815278515269,10.881747951839328,61.23519543120198,20.736361024145133
Shohei Ohtani,61.96376856321555,60.59815278515269,10.881747951839328,11.258528636652228,59.68860086196354
Shohei Ohtani,61.96376856321555,60.59815278515269,10.881747951839328,11.258528636652228,20.736361024145133
Shohei Ohtani,61.96376856321555,17.726090265979746,87.26819383620172,61.23519543120198,59.68860086196354
Shohei Ohtani,61.96376856321555,17.726090265979746,87.26819383620172,61.23519543120198,20.736361024145133
Shohei Ohtani,61.96376856321555,17.726090265979746,87.26819383620172,11.258528636652228,59.68860086196354
Shohei Ohtani,61.96376856321555,17.726090265979746,87.26819383620172,11.258528636652228,20.736361024145133
Shohei Ohtani,61.96376856321555,17.726090265979746,10.881747951839328,61.23519543120198,59.68860086196354
Shohei Ohtani,61.96376856321555,17.726090265979746,10.881747951839328,61.23519543120198,20.736361024145133
Shohei Ohtani,61.96376856321555,17.726090265979746,10.881747951839328,11.258528636652228,59.68860086196354
Shohei Ohtani,61.96376856321555,17.726090265979746,10.881747951839328,11.258528636652228,20.736361024145133
Aaron Judge,57.92944688551701,59.58867120500585,71.0440368446881,59.39520172671623,65.85203048655532
Juan Soto,50.84345322014646,48.441265494003886,57.69330977509769,46.85397363024307,50.65400995293087
Ronald Acuna Jr.,50.64736959154529,41.953653907473615,49.68277730534591,41.3224689990927,43.973761824382144
Yordan Alvarez,49.47633807586786,46.5064808706521,53.53408716817775,42.03438447976204,45.27844549258143
Bobby Witt Jr.,46.09082537782799,50.59690802814321,48.45954301696827,40.14150854458821,46.35150120078254
Vladimir Guerrero Jr.,44.245814360566406,44.410148188767415,40.684176758255944,34.40429051726615,40.8186784576784
Gunnar Henderson,44.06194051874024,37.78146553783436,43.878506886615064,36.56977193641182,39.0835239512376
Corbin Carroll,41.80238463743308,33.91375349657378,38.52124478936509,32.55463845122833,35.60248443848451
Jose Ramirez,40.97175244683863,38.41923467040094,43.57604765470651,36.00453782134109,30.366342874970858
Bryce Harper,40.42136417697691,33.75806021745205,34.10426594178533,37.51107070719921,36.35623404971306
Fernando Tatis Jr.,40.01558521768535,40.21704970185668,34.33841832223957,40.51857425104326,38.393126677719074
Mookie Betts,38.6810610685531,36.709771649943164,37.36982444810158,38.53172842940525,32.91291539827964
Elly De La Cruz,38.03984441099986,36.997409225295314,46.14505510382849,37.65820614145431,38.63710392711059
Kyle Tucker,37.03575266261325,37.430336652992935,24.991651828898945,32.895509633754685,36.84877010348776
Freddie Freeman,36.30600560402934,30.27916789088511,36.763693616796374,33.595687110421984,28.38530557287344
Julio Rodriguez,34.83008715262485,35.345953974491394,37.16630363184021,32.48541742378343,37.82533673476981
Kyle Schwarber,33.981348793341205,30.062130733120497,37.07190224153401,30.738810462371863,36.304969254291485
Rafael Devers,33.04952607127509,33.84551733929188,35.05464358493894,31.437020809484675,30.441268869413353
William Contreras,32.61249022368561,30.326799455170704,29.014422495945208,27.934427857746673,29.962873253144643
Jackson Chourio,32.45627012298344,26.08885365648957,23.53844486190595,23.852837357689143,20.935435784391228
Matt Olson,32.145871015791,31.13748452231551,33.50208325168967,30.033223032504626,33.23661644521674
Ketel Marte,32.02799938492354,32.54349071667678,25.7204600685274,27.992884118109234,25.416613288585093
Pete Alonso,31.492525810050005,30.918643719276623,32.04792394249415,27.508665877052803,31.34220264695659
Brent Rooker,30.697281951141765,31.108704006832212,39.46571272573681,36.015715642380314,28.509396784361183
Francisco Lindor,30.661611318956105,32.058663954512326,35.36306094867503,30.760912820538795,27.34935052705846
Austin Riley,29.750594646087826,36.237124973308205,30.01190485532804,30.109099985783065,35.36840971960366
Corey Seager,28.091850522349684,33.165047597609245,27.98959834461837,24.9299894052435,24.232767003143614
Jazz Chisholm Jr.,27.607463290059492,28.949780078365293,25.416109392894306,26.14358614742911,25.104979355096656
Anthony Santander,27.30660978321043,25.021127137013845,31.237467292295314,28.09354074813103,23.748235767344006
Jackson Merrill,26.664929342451632,25.958400848342233,22.04008995471349,24.268891545954652,18.599797752074014
Manny Machado,26.652088486345068,27.008862185485878,23.989105655734246,23.71621309819304,26.037736394846455
Michael Harris II,26.610451082139345,25.0237717904941,22.958808953775446,25.146493307155584,28.02445572574899
Jarren Duran,26.551377284099104,31.526646286000258,25.155379689068074,24.606310543340044,28.35950640796766
Teoscar Hernandez,25.845844049341906,27.63586702766651,28.268905585795483,26.710048945836565,27.93728301891566
Marcell Ozuna,25.653954169378412,26.78646868366296,22.670357079431575,25.220111885836896,31.316610204478895
Alex Bregman,25.57190643402308,23.08610301030723,17.284049359777566,18.84084692305415,16.911507994538734
Oneil Cruz,25.19193718706662,30.01180434074387,23.581947529150245,24.449206430499117,28.58239994677919
Lawrence Butler,24.862575412476783,21.26462457004955,14.094772727868005,21.206495683273513,19.146346852254467
Riley Greene,24.808161206038793,22.649288360350827,18.563571556027888,23.732460915280868,25.86486888273674
Trea Turner,24.75322983074702,25.414326365735118,25.7619178263383,28.78258708609968,22.826533356253854
