player_name,auction_value
Aaron Judge,58.6944738211614
Shohei Ohtani,55.791519820471954
Juan Soto,49.76433723877516
Yordan Alvarez,45.83934187265803
Fernando Tatis Jr.,42.40474783584658
Bobby Witt Jr.,40.32601592878564
Ronald Acuña Jr.,39.90668344338996
Vladimir Guerrero Jr.,39.390172856260186
Kyle Tucker,38.691263993236305
José Ramírez,37.5299407494784
Bryce Harper,36.64452376688565
Corbin Carroll,35.360921795370366
William Contreras,35.33746115488071
Gunnar Henderson,35.089130556617214
Mookie Betts,31.427175365421576
Julio Rodríguez,30.48575716077127
Rafael Devers,29.984912828075696
Willson Contreras,29.52337025467084
Freddie Freeman,29.07075150252353
Ketel Marte,28.845860092140757
Elly De La Cruz,28.679291686716436
Kyle Schwarber,26.9874117533366
Matt Olson,26.695804256290582
Pete Alonso,26.00072451732846
Austin Riley,25.672911536110536
Jackson Chourio,25.627626135078213
Brent Rooker,24.463039043397504
Cal Raleigh,24.379211593059143
Adley Rutschman,24.289440185116373
Salvador Perez,23.99997841013727
Anthony Santander,22.29553667474602
Michael Harris II,21.941951691211788
Manny Machado,21.66831054959955
Mike Trout,21.637104550363073
Yainer Diaz,21.5576173140516
Francisco Lindor,21.5136314954797
Lawrence Butler,21.453426260055313
Jazz Chisholm Jr.,21.39651289061738
Corey Seager,20.882581467555944
Christian Walker,20.880528148251766
Teoscar Hernández,20.353658316742713
Jackson Merrill,20.326673656862265
Vinnie Pasquantino,19.65415246198809
Riley Greene,19.637666791494446
Jarren Duran,19.617193935272287
Marcell Ozuna,19.593174789737738
Shea Langeliers,19.527397142066928
Matt McLain,18.113234120257168
Alex Bregman,18.07520435712991
Jose Altuve,18.072748565318133
Luis Robert Jr.,18.059552705998556
Will Smith,18.034868579907027
James Wood,17.725765623696706
Yandy Díaz,17.529383676072708
Mark Vientos,17.462375017801616
Triston Casas,17.343689516498344
Bryan Reynolds,17.299606769167973
Oneil Cruz,17.104330559319674
